# Commissioner-moved pick trades (manual overlay).
#
# Off-platform draft-pick movements that really happened as PART of an existing,
# already-recorded trade, but that the platform never attached to that trade:
#   - 2020 ESPN trades: the trade emails listed only the player legs, so the
#     picks that changed hands in the same deal were lost.
#   - 2021+ Sleeper trades: picks more than ~3 years out are beyond Sleeper's
#     tracking window, so a future pick bundled into a recorded player trade was
#     dropped from that transaction's draft_picks.
#
# Each row = ONE pick changing hands in ONE existing trade (a pick that moved
# through several trades has one row per hop). The build (src/lotg.py) injects a
# synthetic draft_pick leg into the matching source transaction — identified by
# its exact created timestamp (UTC) — so the pick shows up in that trade's
# Assets received/sent and flows into the pick lineage, chain and trade counts
# exactly like a natively-recorded pick. Source: league-commissioner ledger
# (Google Sheet 16WDkZ6hjwFss75qR7spHY-iu9xOS565GR0NgA7VobZs).
#
# trade_created_utc must equal the target transaction's `created` time, UTC,
# formatted "YYYY-MM-DD HH:MM:SS". Owners are Sleeper display handles.
# orig_owner = the pick's original (draft-slot) owner; from/to = this hop.
pick_year,round,orig_owner,from_owner,to_owner,trade_created_utc,deal,notes
# --- 2020 ESPN trades (picks missing from the email-parsed legs) ---
2021,3,AceMatthew,AceMatthew,shmuel256,2020-10-29 17:09:26,ARob-DeVante Parker trade,
2021,4,shmuel256,shmuel256,AceMatthew,2020-10-29 17:09:26,ARob-DeVante Parker trade,
2021,1,plehv79,plehv79,shmuel256,2020-12-01 16:47:53,Edwards-Helaire trade,1.05 to Sam for CEH
2021,2,stevenb123,stevenb123,LWebs53,2020-12-16 16:43:22,Hockenson-Drake trade,
2021,1,LWebs53,LWebs53,AceMatthew,2020-11-29 23:57:04,Cook trade,
2021,2,LWebs53,LWebs53,AceMatthew,2020-11-29 23:57:04,Cook trade,
2021,4,LWebs53,LWebs53,AceMatthew,2020-11-29 23:57:04,Cook trade,
2022,1,LWebs53,LWebs53,AceMatthew,2020-11-29 23:57:04,Cook trade,
2022,3,LWebs53,LWebs53,AceMatthew,2020-11-29 23:57:04,Cook trade,
2023,1,LWebs53,LWebs53,AceMatthew,2020-11-29 23:57:04,Cook trade,
2024,1,LWebs53,LWebs53,AceMatthew,2020-11-29 23:57:04,Cook trade,
2024,3,LWebs53,LWebs53,AceMatthew,2020-11-29 23:57:04,Cook trade,
2025,1,LWebs53,LWebs53,AceMatthew,2020-11-29 23:57:04,Cook trade,
