espn_id,sleeper_id,gsis_id,name,position,nfl_team
2330,167.0,00-0019596,Tom Brady,QB,TB
2580,289.0,00-0020531,Drew Brees,QB,NO
5528,223.0,00-0022921,Larry Fitzgerald,WR,ARI
5536,138.0,00-0022924,Ben Roethlisberger,QB,PIT
8439,96.0,00-0023459,Aaron Rodgers,QB,GB
8479,232.0,00-0023500,Frank Gore,RB,NYJ
8664,333.0,00-0023682,Ryan Fitzpatrick,QB,MIA
10452,184.0,00-0025394,Adrian Peterson,RB,DET
11237,24.0,00-0026143,Matt Ryan,QB,ATL
12483,421.0,00-0026498,Matthew Stafford,QB,LAR
12537,367.0,00-0027061,Jared Cook,TE,
12649,344.0,00-0027150,Julian Edelman,WR,NE
13215,574.0,00-0027902,Dez Bryant,WR,BAL
13217,642.0,00-0027891,Golden Tate,WR,
13229,515.0,00-0027656,Rob Gronkowski,TE,TB
13232,616.0,00-0027696,Jimmy Graham,TE,CHI
13295,538.0,00-0027685,Emmanuel Sanders,WR,NO
13934,536.0,00-0027793,Antonio Brown,WR,TB
13981,956.0,00-0027966,Mark Ingram,RB,
13982,947.0,00-0027944,Julio Jones,WR,ATL
13983,830.0,00-0027942,A.J. Green,WR,CIN
13994,954.0,00-0027939,Cam Newton,QB,NE
14053,928.0,00-0028002,Randall Cobb,WR,HOU
14054,943.0,00-0027981,Kyle Rudolph,TE,
14198,788.0,00-0028087,Dion Lewis,RB,NYG
14876,1049.0,00-0029701,Ryan Tannehill,QB,TEN
14880,1166.0,00-0029604,Kirk Cousins,QB,MIN
14881,1234.0,00-0029263,Russell Wilson,QB,SEA
14924,1110.0,00-0029608,T.Y. Hilton,WR,IND
15072,1067.0,00-0029293,Marvin Jones,WR,DET
15349,1144.0,00-0029000,Cole Beasley,WR,BUF
15795,1426.0,00-0030564,DeAndre Hopkins,WR,ARI
15818,1479.0,00-0030279,Keenan Allen,WR,LAC
15825,1408.0,00-0030496,Le'Veon Bell,RB,KC
15826,1386.0,00-0030456,Giovani Bernard,RB,CIN
15835,1339.0,00-0030061,Zach Ertz,TE,PHI
15847,1466.0,00-0030506,Travis Kelce,TE,KC
15880,1352.0,00-0030431,Robert Woods,WR,LAR
15920,1476.0,00-0030513,Latavius Murray,RB,NO
15966,1502.0,00-0030404,Chris Thompson,RB,JAX
15971,1387.0,00-0030288,Rex Burkhead,RB,NE
16460,1689.0,00-0030035,Adam Thielen,WR,MIN
16504,1706.0,00-0030181,Jack Doyle,TE,IND
16725,1817.0,00-0031325,Sammy Watkins,WR,KC
16728,2152.0,00-0031237,Teddy Bridgewater,QB,CAR
