player_name,gsis_id,season,week,nfl_team,status,detail,source
Jordan Love,00-0036264,2020,1,GB,inactive,Rookie Love was a healthy scratch all 2020 regular season (Boyle QB2),https://bleacherreport.com/articles/2935857-jordan-love-set-to-be-aaron-rodgers-backup-qb-after-packers-let-tim-boyle-go
Tua Tagovailoa,00-0036212,2020,1,MIA,active,"Dolphins inactives: Perry, Bowden, Fejedelem, Strowbridge, Pankey; Tua backup to Fitzpatrick",https://www.miamidolphins.com/news/inactives-for-dolphins-patriots-week-1
Tua Tagovailoa,00-0036212,2020,2,MIA,active,"Dolphins inactives: Perry, Fejedelem, Roberts, Strowbridge, Pankey",https://www.thephinsider.com/2020/9/20/21447672/miami-dolphins-buffalo-bills-week-2-2020-inactive-players-malcolm-perry-tremaine-edwards
Tua Tagovailoa,00-0036212,2020,3,MIA,active,"Dolphins inactives: Perry, Bowden, B. Jones, Fejedelem, Strowbridge, Pankey",https://www.thephinsider.com/2020/9/24/21455211/dolphins-at-jaguars-thursday-night-footbal-inactive-players-update
Tua Tagovailoa,00-0036212,2020,4,MIA,active,"Questionable (illness) but resumed backup role; inactives Perry, Strowbridge, Pankey",https://www.si.com/nfl/dolphins/news/miami-dolphins-week-4-inactives-and-what-it-means
Tua Tagovailoa,00-0036212,2020,5,MIA,active,"Dolphins inactives: Perry, Smythe, Lawson, Howard, Strowbridge",https://www.miamidolphins.com/news/dolphins-49ers-inactives-for-week-5
Clyde Edwards-Helaire,00-0036360,2020,13,KC,active,"Active for SNF despite questionable (illness); inactives Keyes, Harris, Rankin, Seals-Jones, Ward, Saunders",https://www.arrowheadpride.com/2020/12/6/22157345/chiefs-broncos-inactives-clyde-edwards-helaire-will-play-sunday-night
Jameis Winston,00-0031503,2020,13,NO,active,"Saints inactives: Jenkins, Montgomery, Davenport, Harris, Siemian, Haley, Griffin, Roach",https://www.cbssports.com/nfl/news/saints-announce-week-13-inactives
Jameis Winston,00-0031503,2020,14,NO,active,"Saints inactives: M. Brown, Siemian, Harty, Crawley, Griffin, D. Kelly, Montgomery",https://www.si.com/nfl/saints/gameday/week-14-saints-inactive-report-eagles-fox
Carson Wentz,00-0032950,2020,14,PHI,active,Benched; demoted to Hurts' backup,https://www.cbssports.com/nfl/news/jalen-hurts-named-eagles-starter-for-week-14-vs-saints-carson-wentz-demoted-to-backup
Jameis Winston,00-0031503,2020,15,NO,reserve,Placed on Reserve/COVID-19 list Sunday morning,https://www.canalstreetchronicles.com/2020/12/20/22191970/saints-chief-game-inactives-jameis-winston-on-covid-19-reserve-nfl-2020-season-football-week-15
Carson Wentz,00-0032950,2020,15,PHI,active,"Second straight week as Hurts' backup; inactives Slay, Maddox, Driscoll, Gerry, Hightower",https://www.phillyvoice.com/eagles-cardinals-inactives-injury-report-darius-slay-john-hightower-analysis-2020-0599970/
Jameis Winston,00-0031503,2020,16,NO,active,"Activated from COVID list; Saints inactives: M. Williams, Hendrickson, Elliss, Easton, Peat, M. Brown",https://www.canalstreetchronicles.com/2020/12/25/22199893/saints-vikings-inactives-trequan-smith-injured-reserve-nfl-week-16-drew-brees-kirk-cousin
Carson Wentz,00-0032950,2020,16,PHI,active,"Eagles inactives: Arcega-Whiteside, Barnett, Hightower, Huntley, Riley, R. Rodgers, Sudfeld; Wentz backup to Hurts",https://www.philadelphiaeagles.com/news/eagles-cowboys-inactives-week-16-2020
Trey Lance,00-0037012,2021,2,SF,active,Active; did not take a snap (Shanahan explained zero snaps),https://www.nfl.com/news/49ers-hc-kyle-shanahan-explains-why-trey-lance-had-zero-snaps-in-win
Jordan Love,00-0036264,2021,3,GB,active,"Packers inactives: King, Jenkins, Scott, Hamilton",https://www.packersnews.com/story/sports/nfl/packers/2021/09/26/packers-name-inactive-players-sunday-night-football-game-vs-49-ers/5850728001/
Jeff Wilson,00-0034115,2021,3,SF,reserve,Opened 2021 on reserve/PUP (knee); activated November,https://www.profootballrumors.com/2021/11/49ers-activate-rb-jeff-wilson-from-pup-list
Jordan Love,00-0036264,2021,4,GB,active,"Packers inactives: Jenkins, King, Barnes (+Z. Smith, Valdes-Scantling on IR)",https://www.acmepackingcompany.com/2021/10/3/22707581/inactives-pittsburgh-steelers-green-bay-packers-kevin-king-elgton-jenkins-krys-barnes-injury-update
Jeff Wilson,00-0034115,2021,4,SF,reserve,Still on reserve/PUP (activated November),https://www.profootballrumors.com/2021/11/49ers-activate-rb-jeff-wilson-from-pup-list
Jordan Love,00-0036264,2021,5,GB,active,"Packers inactives: Douglas, Heflin, Jenkins, Myers, Scott, J. Smith",https://www.acmepackingcompany.com/2021/10/10/22719344/green-bay-packers-cincinnati-bengals-week-5-inactives-elgton-jenkins-joe-mixon-myers-injury-update
Jordan Love,00-0036264,2021,6,GB,active,"Packers inactives: King, Scott, McDuffie, Heflin, Kelly",https://www.packers.com/news/packers-bears-inactives-week-6-2021
Donovan Peoples-Jones,00-0036233,2021,7,CLE,active,"Browns inactives: Mayfield, Chubb, A.J. Green, Odenigbo, Froholdt, Conklin, Togiai",https://www.clevelandbrowns.com/news/browns-announce-week-7-inactives-vs-broncos
Jordan Love,00-0036264,2021,7,GB,active,"Packers inactives: King, Scott, Kelly, Heflin, P. Smith",https://www.si.com/nfl/packers/gameday/green-bay-packers-vs-washington-football-team-inactives
Jordan Love,00-0036264,2021,8,GB,active,"Packers inactives: Kelly, Heflin, J. Smith, Hamilton, King, Scott",https://www.nfl.com/news/week-8-thursday-night-inactives-green-bay-packers-at-arizona-cardinals
Trey Lance,00-0037012,2021,8,SF,active,"49ers inactives: Banks, Al-Shaair, Hurst, Lenoir, A. Thomas, Benjamin",https://www.49ers.com/news/49ers-bears-trent-williams-ebukam-khalil-mack-inactives-week-8
Davis Mills,00-0036898,2021,9,HOU,active,"Texans inactives: Watson, Driskel, LeBlanc, Nickerson, E. Wilson, D. Davis, P. Brown",https://www.houstontexans.com/news/inactives-houston-texans-vs-miami-dolphins
Tua Tagovailoa,00-0036212,2021,9,MIA,active,Officially active as emergency backup (fractured finger); Brissett started,https://dknation.draftkings.com/2021/11/7/22765324/tua-tagovailoa-injury-game-status-active-week-9-fantasy-football-dolphins-vs-texans-inactives
Jeff Wilson,00-0034115,2021,9,SF,active,Activated from reserve/PUP; listed active vs Cardinals,https://www.ninersnation.com/2021/11/7/22768727/49ers-inactives-against-the-cardinals-mitchell-wilson-and-kittle-are-active
Trey Lance,00-0037012,2021,9,SF,active,"49ers inactives: Banks, Benjamin, Hurst, Lenoir, Omenihu, Sermon, Ward",https://www.49erswebzone.com/articles/152203-49ers-cardinals-sermon-inactives-niners-murray-deandre-hopkins-inactive/
Jordan Love,00-0036264,2021,10,GB,active,"Packers inactives: St. Brown, Scott, Dafney, Bakhtiari, Keke",https://www.packers.com/news/green-bay-packers-seattle-seahawks-inactives-week-10-2021
Trey Lance,00-0037012,2021,10,SF,active,"49ers inactives: Hasty, Hurst, Kirkpatrick, McKivitz",https://www.49erswebzone.com/news/152486-monday-night-inactives-los-angeles-san-francisco-49ers/
Jordan Love,00-0036264,2021,12,GB,active,"Packers inactives: King, Bakhtiari, Scott, M. Taylor, Heflin",https://www.packers.com/news/packers-rams-inactives-week-12-2021
Taysom Hill,00-0033357,2021,12,NO,active,"Saints inactives: Book, Ingram, Armah, Kamara, Ramczyk, Kpassagnon, Davenport",https://www.si.com/nfl/saints/gameday/week-12-saints-inactive-report-bills
Trey Lance,00-0037012,2021,12,SF,active,"49ers inactives: Hasty, McKivitz, Hurst, Willis",https://www.49erswebzone.com/articles/152971-49ers-vikings-jamycal-hasty-among-inactives-niners/
Darrell Henderson,00-0035664,2021,13,LA,active,"Active (thigh, emergency-only role); Rams inactives: Perkins, Garrett, A. Jackson, Anchrum, D. Long",https://www.therams.com/news/rams-jaguars-inactives-week-13-2021-david-long-jr
Trey Lance,00-0037012,2021,13,SF,active,"49ers inactives: Greenlaw, Samuel, McKivitz, Hurst, Warner, M. Harris",https://www.profootballnetwork.com/nfl-inactives-2021-nflwk-13/
Trey Lance,00-0037012,2021,14,SF,active,"49ers inactives: T. Adams, Greenlaw, Hurst, E. Mitchell, D. Johnson, McKivitz",https://www.profootballnetwork.com/nfl-inactives-2021-nflwk-14/
