player_name,gsis_id,season,week_start,week_end,reason
Cooper Kupp,00-0033908,2022,11,17,High ankle sprain - season-ending IR
Cooper Kupp,00-0033908,2023,1,1,Hamstring - missed Week 1
Cooper Kupp,00-0033908,2024,3,3,Ankle - one-week absence
Nick Chubb,00-0034791,2023,3,18,Knee - season-ending IR (Week 2 injury)
Nick Chubb,00-0034791,2024,16,18,Foot - season-ending IR
Rashee Rice,00-0039067,2024,4,17,Knee - season-ending IR (Week 3 injury)
Allen Lazard,00-0034521,2022,1,1,Ankle - missed Week 1
Allen Lazard,00-0034521,2024,8,8,Chest illness - inactive
Aaron Rodgers,00-0023459,2023,1,18,Achilles - season-ending Week 1
Joe Burrow,00-0036442,2023,12,18,Wrist - season-ending IR
Anthony Richardson,00-0039164,2023,6,18,AC joint - season-ending IR
Matthew Stafford,00-0026498,2022,12,17,Concussion / neck - missed late season
J.K. Dobbins,00-0036158,2023,2,18,Achilles - season-ending IR
Christian McCaffrey,00-0033280,2024,1,7,Achilles / calf - missed first half
Puka Nacua,00-0039075,2024,2,6,PCL sprain - IR stint
Stefon Diggs,00-0031588,2024,9,18,Torn ACL - season-ending IR
Saquon Barkley,00-0034844,2021,13,17,Ankle/knee - missed late season
Jonathan Taylor,00-0036223,2023,1,3,Ankle PUP - missed first 3 weeks
Ja'Marr Chase,00-0036900,2022,8,12,Hip - missed mid-season
A.J. Brown,00-0035676,2021,4,4,Chest - missed Week 4
A.J. Brown,00-0035676,2021,12,15,Hamstring - missed late-season weeks
Drake London,00-0037238,2023,14,17,Groin - late-season IR
Tony Pollard,00-0035261,2022,18,18,Fibula - playoff week
Kirk Cousins,00-0029604,2023,9,18,Achilles - season-ending IR
Justin Jefferson,00-0036322,2023,6,13,Hamstring - mid-season IR
