Year,Original Team,Number,Player Picked,Trade 1,Trade 2,Trade 3,Trade 4,Trade 5,Trade 6,Trade 7,Trade 8,Trade 9,Trade 10,etc
2021,stevenb123,R1.1,A.J. Dillon,,,,,,,,,,,
2021,JacobRosenzweig,R1.2,Marquise Brown,,,,,,,,,,,
2021,AceMatthew,R1.3,Damien Harris,,,,,,,,,,,
2021,BROsenzweig,R1.4,Mike Gesicki,,,,,,,,,,,
2021,plehv79,R1.5,Michael Gallup,,,,,,,,,,,
2021,LWebs53,R1.6,Gus Edwards,,,,,,,,,,,
2021,Oliverwkw,R1.7,Tyler Higbee,,,,,,,,,,,
2021,shmuel256,R1.8,Melvin Gordon,,,,,,,,,,,
2021,shmuel256,R2.9,Irv Smith,,,,,,,,,,,
2021,Oliverwkw,R2.10,Marquez Callaway,,,,,,,,,,,
2021,LWebs53,R2.11,Jordan Love,,,,,,,,,,,
2021,plehv79,R2.12,Mike Williams,,,,,,,,,,,
2021,BROsenzweig,R2.13,Matt Ryan,,,,,,,,,,,
2021,AceMatthew,R2.14,Jakobi Meyers,,,,,,,,,,,
2021,JacobRosenzweig,R2.15,Sam Darnold,,,,,,,,,,,
2021,stevenb123,R2.16,Sony Michel,,,,,,,,,,,
2021,stevenb123,R3.17,Russell Gage,,,,,,,,,,,
2021,JacobRosenzweig,R3.18,Tony Pollard,,,,,,,,,,,
2021,AceMatthew,R3.19,Jameis Winston,,,,,,,,,,,
2021,BROsenzweig,R3.20,Mecole Hardman,,,,,,,,,,,
2021,plehv79,R3.21,Kirk Cousins,,,,,,,,,,,
2021,LWebs53,R3.22,Adam Trautman,,,,,,,,,,,
2021,Oliverwkw,R3.23,DeeJay Dallas,,,,,,,,,,,
2021,shmuel256,R3.24,Phillip Lindsay,,,,,,,,,,,
2021,shmuel256,R4.25,Denzel Mims,,,,,,,,,,,
2021,Oliverwkw,R4.26,Ryan Fitzpatrick,,,,,,,,,,,
2021,LWebs53,R4.27,Jared Goff,,,,,,,,,,,
2021,plehv79,R4.28,Sterling Shepard,,,,,,,,,,,
2021,BROsenzweig,R4.29,Cam Newton,,,,,,,,,,,
2021,AceMatthew,R4.30,Parris Campbell,,,,,,,,,,,
2021,JacobRosenzweig,R4.31,Josh Doctson,,,,,,,,,,,
2021,stevenb123,R4.32,Anthony Firkser,,,,,,,,,,,
2021,stevenb123,R1.1,Najee Harris,,,,,,,,,,,
2021,stevenb123,R1.2,Kyle Pitts,,,,,,,,,,,
2021,AceMatthew,R1.3,Trevor Lawrence,,,,,,,,,,,
2021,BROsenzweig,R1.4,Ja'Marr Chase,,,,,,,,,,,
2021,shmuel256,R1.5,Javonte Williams,,,,,,,,,,,
2021,AceMatthew,R1.6,Travis Etienne,,,,,,,,,,,
2021,Oliverwkw,R1.7,Jaylen Waddle,,,,,,,,,,,
2021,shmuel256,R1.8,Trey Lance,,,,,,,,,,,
2021,shmuel256,R2.9,Justin Fields,,,,,,,,,,,
2021,Oliverwkw,R2.10,Zach Wilson,,,,,,,,,,,
2021,AceMatthew,R2.11,DeVonta Smith,,,,,,,,,,,
2021,plehv79,R2.12,Trey Sermon,,,,,,,,,,,
2021,BROsenzweig,R2.13,Elijah Moore,,,,,,,,,,,
2021,AceMatthew,R2.14,Rashod Bateman,,,,,,,,,,,
2021,JacobRosenzweig,R2.15,Kadarius Toney,,,,,,,,,,,
2021,LWebs53,R2.16,Michael Carter,,,,,,,,,,,
2021,stevenb123,R3.17,Mac Jones,,,,,,,,,,,
2021,JacobRosenzweig,R3.18,Pat Freiermuth,,,,,,,,,,,
2021,shmuel256,R3.19,Amon-Ra St. Brown,,,,,,,,,,,
2021,BROsenzweig,R3.20,Terrace Marshall,,,,,,,,,,,
2021,plehv79,R3.21,Amari Rodgers,,,,,,,,,,,
2021,LWebs53,R3.22,Rhamondre Stevenson,,,,,,,,,,,
2021,Oliverwkw,R3.23,Chuba Hubbard,,,,,,,,,,,
2021,shmuel256,R3.24,Kenneth Gainwell,,,,,,,,,,,
2021,AceMatthew,R4.25,Rondale Moore,,,,,,,,,,,
2021,Oliverwkw,R4.26,Elijah Mitchell,,,,,,,,,,,
2021,AceMatthew,R4.27,Dyami Brown,,,,,,,,,,,
2021,plehv79,R4.28,Brevin Jordan,,,,,,,,,,,
2021,BROsenzweig,R4.29,Nico Collins,,,,,,,,,,,
2021,AceMatthew,R4.30,Dee Eskridge,,,,,,,,,,,
2021,JacobRosenzweig,R4.31,Jaret Patterson,,,,,,,,,,,
2021,JacobRosenzweig,R4.32,Kyle Trask,,,,,,,,,,,
2021,AceMatthew,R1.1,Lamar Jackson,,,,,,,,,,,
2021,stevenb123,R1.2,Jared Goff,,,,,,,,,,,
2021,JacobRosenzweig,R1.3,Josh Jacobs,,,,,,,,,,,
2021,BROsenzweig,R1.4,Josh Allen,,,,,,,,,,,
2021,plehv79,R1.5,Patrick Mahomes,,,,,,,,,,,
2021,LWebs53,R1.6,Aaron Rodgers,,,,,,,,,,,
2021,Oliverwkw,R1.7,Kyler Murray,,,,,,,,,,,
2021,shmuel256,R1.8,Russell Wilson,,,,,,,,,,,
2021,AceMatthew,R2.9,Austin Ekeler,,,,,,,,,,,
2021,stevenb123,R2.10,Ezekiel Elliott,,,,,,,,,,,
2021,JacobRosenzweig,R2.11,Joe Mixon,,,,,,,,,,,
2021,BROsenzweig,R2.12,Derrick Henry,,,,,,,,,,,
2021,plehv79,R2.13,Jonathan Taylor,,,,,,,,,,,
2021,LWebs53,R2.14,Dalvin Cook,,,,,,,,,,,
2021,Oliverwkw,R2.15,Christian McCaffrey,,,,,,,,,,,
2021,shmuel256,R2.16,Robert Woods,,,,,,,,,,,
2021,AceMatthew,R3.17,Antonio Gibson,,,,,,,,,,,
2021,stevenb123,R3.18,Leonard Fournette,,,,,,,,,,,
2021,JacobRosenzweig,R3.19,David Johnson,,,,,,,,,,,
2021,BROsenzweig,R3.20,Saquon Barkley,,,,,,,,,,,
2021,plehv79,R3.21,David Montgomery,,,,,,,,,,,
2021,LWebs53,R3.22,Aaron Jones,,,,,,,,,,,
2021,Oliverwkw,R3.23,Nick Chubb,,,,,,,,,,,
2021,shmuel256,R3.24,Justin Jefferson,,,,,,,,,,,
2021,AceMatthew,R4.25,Chris Godwin,,,,,,,,,,,
2021,stevenb123,R4.26,Adam Thielen,,,,,,,,,,,
2021,JacobRosenzweig,R4.27,Curtis Samuel,,,,,,,,,,,
2021,BROsenzweig,R4.28,Michael Thomas,,,,,,,,,,,
2021,plehv79,R4.29,Tyreek Hill,,,,,,,,,,,
2021,LWebs53,R4.30,Davante Adams,,,,,,,,,,,
2021,Oliverwkw,R4.31,Cooper Kupp,,,,,,,,,,,
2021,shmuel256,R4.32,Allen Robinson,,,,,,,,,,,
2021,AceMatthew,R5.33,CeeDee Lamb,,,,,,,,,,,
2021,stevenb123,R5.34,Tyler Lockett,,,,,,,,,,,
2021,JacobRosenzweig,R5.35,Courtland Sutton,,,,,,,,,,,
2021,BROsenzweig,R5.36,DeAndre Hopkins,,,,,,,,,,,
2021,plehv79,R5.37,DK Metcalf,,,,,,,,,,,
2021,LWebs53,R5.38,Mike Evans,,,,,,,,,,,
2021,Oliverwkw,R5.39,Terry McLaurin,,,,,,,,,,,
2021,shmuel256,R5.40,Darren Waller,,,,,,,,,,,
2021,AceMatthew,R6.41,Tee Higgins,,,,,,,,,,,
2021,stevenb123,R6.42,Brandin Cooks,,,,,,,,,,,
2021,JacobRosenzweig,R6.43,Kenny Golladay,,,,,,,,,,,
2021,BROsenzweig,R6.44,Amari Cooper,,,,,,,,,,,
2021,plehv79,R6.45,A.J. Brown,,,,,,,,,,,
2021,LWebs53,R6.46,Keenan Allen,,,,,,,,,,,
2021,Oliverwkw,R6.47,Calvin Ridley,,,,,,,,,,,
2021,shmuel256,R6.48,Stefon Diggs,,,,,,,,,,,
2021,AceMatthew,R7.49,T.J. Hockenson,,,,,,,,,,,
2021,stevenb123,R7.50,Mark Andrews,,,,,,,,,,,
2021,JacobRosenzweig,R7.51,Robbie Chosen,,,,,,,,,,,
2021,BROsenzweig,R7.52,Rob Gronkowski,,,,,,,,,,,
2021,plehv79,R7.53,Dallas Goedert,,,,,,,,,,,
2021,LWebs53,R7.54,Travis Kelce,,,,,,,,,,,
2021,Oliverwkw,R7.55,George Kittle,,,,,,,,,,,
2021,shmuel256,R7.56,Ryan Tannehill,,,,,,,,,,,
2021,AceMatthew,R8.57,Logan Thomas,,,,,,,,,,,
2021,stevenb123,R8.58,Marvin Jones,,,,,,,,,,,
2021,JacobRosenzweig,R8.59,Kareem Hunt,,,,,,,,,,,
2021,BROsenzweig,R8.60,Miles Sanders,,,,,,,,,,,
2021,plehv79,R8.61,Brandon Aiyuk,,,,,,,,,,,
2021,LWebs53,R8.62,Diontae Johnson,,,,,,,,,,,
2021,Oliverwkw,R8.63,Chris Carson,,,,,,,,,,,
2021,shmuel256,R8.64,Alvin Kamara,,,,,,,,,,,
2021,AceMatthew,R9.65,Jalen Hurts,,,,,,,,,,,
2021,stevenb123,R9.66,Matthew Stafford,,,,,,,,,,,
2021,JacobRosenzweig,R9.67,William Fuller,,,,,,,,,,,
2021,BROsenzweig,R9.68,Tua Tagovailoa,,,,,,,,,,,
2021,plehv79,R9.69,Baker Mayfield,,,,,,,,,,,
2021,LWebs53,R9.70,Tom Brady,,,,,,,,,,,
2021,Oliverwkw,R9.71,Justin Herbert,,,,,,,,,,,
2021,shmuel256,R9.72,DJ Chark,,,,,,,,,,,
2021,AceMatthew,R10.73,J.K. Dobbins,,,,,,,,,,,
2021,stevenb123,R10.74,Julio Jones,,,,,,,,,,,
2021,JacobRosenzweig,R10.75,Dak Prescott,,,,,,,,,,,
2021,BROsenzweig,R10.76,Carson Wentz,,,,,,,,,,,
2021,plehv79,R10.77,Deshaun Watson,,,,,,,,,,,
2021,LWebs53,R10.78,DJ Moore,,,,,,,,,,,
2021,Oliverwkw,R10.79,Henry Ruggs,,,,,,,,,,,
2021,shmuel256,R10.80,Latavius Murray,,,,,,,,,,,
2021,AceMatthew,R11.81,D'Andre Swift,,,,,,,,,,,
2021,stevenb123,R11.82,JuJu Smith-Schuster,,,,,,,,,,,
2021,JacobRosenzweig,R11.83,Antonio Brown,,,,,,,,,,,
2021,BROsenzweig,R11.84,Evan Engram,,,,,,,,,,,
2021,plehv79,R11.85,Cam Akers,,,,,,,,,,,
2021,LWebs53,R11.86,James Conner,,,,,,,,,,,
