Player,Team,Week,Year,Points,Injury?,Suspension?,Bye?,Starter/Bench,% of points (if starter),Position started in (if starter),Change from previous week,Change from previous 5 weeks avg,Change from career average to that point,Change from overall career average,Number of weeks on team,Number of consecutive weeks on bench before start (if starter),Number of consecutive weeks on bench before start excluding injury/bye (if starter),Total weeks as team starter to that point,Total weeks on bench to that point,- Activated Cuff? (Was a player of the same nfl team/position & who averages >10 PPG more over last 5 played games injured? Only for players with avg <10 PPG),Difference from best startable bench (if starter),Difference from worst benchable starter (if bench),Reference player name,Difference in averages of best/worst startables over previous 5 games,Cuff adjusted difference,Player of the week?,QB of the week?,RB of the week?,WR of the week?,TE of the week?,Benchwarmer of the week?,Bench QB of the week?,Bench RB of the week?,Bench WR of the week?,Bench TE of the week?,Highest starter on team?,Lowest starter on team?,Rookie?,Age,NFL team,Total weeks as team starter on that team this season,Total weeks on bench on that team this season,WeekNum,_Week_Sort,_week_sort,_expected_points_if_healthy,_points_lost_inj_susp
A.J. Brown,plehv79,1,2021,14.9,,,False,Starter,0.0796,,,,,0.3337500000000002,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,1,,0.0
A.J. Brown,plehv79,2,2021,7.3,,,False,Starter,0.0626,,-7.6000000000000005,,-7.6000000000000005,-7.26625,2,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,2,0,2,2,2,14.9,0.0
A.J. Brown,plehv79,3,2021,0.3,,,False,Starter,0.0022,,-7.0,,-10.799999999999999,-14.26625,3,0,0,3,0,,,,,,,,,,,,,,,,,,,,,,3,0,3,3,3,11.1,0.0
A.J. Brown,plehv79,4,2021,0.0,,,False,Bench,,,-0.3,,-7.5,-14.56625,4,,,3,1,,,,,,,,,,,,,,,,,,,,,,3,1,4,4,4,7.5,0.0
A.J. Brown,plehv79,5,2021,6.8,,,False,Bench,,,6.8,,1.1749999999999998,-7.76625,5,,,3,2,,,,,,,,,,,,,,,,,,,,,,3,2,5,5,5,7.5,0.0
A.J. Brown,plehv79,6,2021,16.1,,,False,Starter,0.0972,,9.3,10.240000000000002,10.240000000000002,1.5337500000000013,6,2,2,4,2,,,,,,,,,,,,,,,,,,,,,,4,2,6,6,6,7.325,0.0
A.J. Brown,plehv79,7,2021,27.3,,,False,Starter,0.2152,,11.2,21.200000000000003,19.733333333333334,12.73375,7,0,0,5,2,,,,,,,,,,,,,,,,,,,,,,5,2,7,7,7,9.080000000000002,0.0
A.J. Brown,plehv79,8,2021,31.5,,,False,Starter,0.1917,,4.199999999999999,21.4,21.114285714285714,16.93375,8,0,0,6,2,,,,,,,,,,,,,,,,,,,,,,6,2,8,8,8,11.559999999999999,0.0
A.J. Brown,plehv79,9,2021,9.2,,,False,Starter,0.0846,,-22.3,-7.140000000000001,-3.825000000000001,-5.366250000000001,9,0,0,7,2,,,,,,,,,,,,,,,,,,,,,,7,2,9,9,9,16.4,0.0
A.J. Brown,plehv79,10,2021,3.3,,,False,Starter,0.0244,,-5.8999999999999995,-14.879999999999999,-9.3,-11.26625,10,0,0,8,2,,,,,,,,,,,,,,,,,,,,,,8,2,10,10,10,18.18,0.0
