Player,Top team,Last team,Number of teams,Number of transactions,Number of trades,Points,Avg points,Weeks missed due to injury,Weeks missed due to suspension,Weeks as starter,% of points (highest team),% of points (lowest team),Times as Player of the week?,Times as QB of the week?,Times as RB of the week?,Times as WR of the week?,Times as TE of the week?,Times as Benchwarmer of the week?,Times as Bench QB of the week?,Times as Bench RB of the week?,Times as Bench WR of the week?,Times as Bench TE of the week?,Times as Highest starter on team?,Times as Lowest starter on team?,Rookie?,Age,Best week,Worst week
A.J. Brown,,,,,,1165.3,,,,,,,,,,,,,,,,,,,,,39.6,0.0
A.J. Dillon,,,,,,457.8,,,,,,,,,,,,,,,,,,,,,26.8,-1.2
A.J. Green,,,,,,57.900000000000006,,,,,,,,,,,,,,,,,,,,,17.2,0.0
A.T. Perry,,,,,,3.2,,,,,,,,,,,,,,,,,,,,,1.7,0.0
AJ Barner,,,,,,76.5,,,,,,,,,,,,,,,,,,,,,16.1,0.0
Aaron Jones,,,,,,911.1,,,,,,,,,,,,,,,,,,,,,41.5,0.0
Aaron Rodgers,,,,,,968.7,,,,,,,,,,,,,,,,,,,,,32.5,0.0
Adam Thielen,,,,,,732.1,,,,,,,,,,,,,,,,,,,,,31.5,0.0
Adonai Mitchell,,,,,,135.45999999999998,,,,,,,,,,,,,,,,,,,,,24.2,-3.0
Adrian Peterson,,,,,,9.6,,,,,,,,,,,,,,,,,,,,,9.6,0.0
Aidan O'Connell,,,,,,114.12,,,,,,,,,,,,,,,,,,,,,25.92,0.0
Albert Okwuegbunam,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,8.3,0.0
Alec Pierce,,,,,,414.6,,,,,,,,,,,,,,,,,,,,,24.6,0.0
Alex Collins,,,,,,45.300000000000004,,,,,,,,,,,,,,,,,,,,,16.8,0.0
Alexander Mattison,,,,,,445.4,,,,,,,,,,,,,,,,,,,,,26.3,-0.1
Allen Lazard,,,,,,295.2,,,,,,,,,,,,,,,,,,,,,23.4,0.0
Allen Robinson,,,,,,169.4,,,,,,,,,,,,,,,,,,,,,17.3,0.0
Alvin Kamara,,,,,,1014.1999999999999,,,,,,,,,,,,,,,,,,,,,44.0,0.0
Amari Cooper,,,,,,776.2,,,,,,,,,,,,,,,,,,,,,51.5,0.0
Amari Rodgers,,,,,,6.1,,,,,,,,,,,,,,,,,,,,,2.9,-1.0
Ameer Abdullah,,,,,,17.7,,,,,,,,,,,,,,,,,,,,,17.7,17.7
Amon-Ra St. Brown,,,,,,1347.18,,,,,,,,,,,,,,,,,,,,,41.4,0.0
Andrei Iosivas,,,,,,116.7,,,,,,,,,,,,,,,,,,,,,16.2,0.0
Andy Dalton,,,,,,31.98,,,,,,,,,,,,,,,,,,,,,15.7,-0.42
Anthony Richardson,,,,,,230.2,,,,,,,,,,,,,,,,,,,,,28.6,-0.1
Anthony Schwartz,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,2.5,0.0
Antonio Brown,,,,,,121.1,,,,,,,,,,,,,,,,,,,,,31.4,0.0
Antonio Gibson,,,,,,569.1,,,,,,,,,,,,,,,,,,,,,23.6,-0.3
Arian Smith,,,,,,11.8,,,,,,,,,,,,,,,,,,,,,3.3,0.0
Ashton Jeanty,,,,,,222.4,,,,,,,,,,,,,,,,,,,,,33.5,0.0
Audric Estime,,,,,,44.9,,,,,,,,,,,,,,,,,,,,,10.8,0.0
Austin Ekeler,,,,,,986.3,,,,,,,,,,,,,,,,,,,,,41.5,0.0
Bailey Zappe,,,,,,7.24,,,,,,,,,,,,,,,,,,,,,7.24,7.24
Baker Mayfield,,,,,,1032.82,,,,,,,,,,,,,,,,,,,,,34.56,0.0
Beaux Collins,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,2.8,0.0
Ben Roethlisberger,,,,,,11.02,,,,,,,,,,,,,,,,,,,,,11.02,11.02
Ben Sinnott,,,,,,34.0,,,,,,,,,,,,,,,,,,,,,8.6,0.0
Bhayshul Tuten,,,,,,79.3,,,,,,,,,,,,,,,,,,,,,15.4,-2.5
Bijan Robinson,,,,,,851.2,,,,,,,,,,,,,,,,,,,,,35.8,0.0
Blake Corum,,,,,,142.8,,,,,,,,,,,,,,,,,,,,,26.1,-0.4
Bo Nix,,,,,,553.48,,,,,,,,,,,,,,,,,,,,,38.96,0.0
Brady Cook,,,,,,13.18,,,,,,,,,,,,,,,,,,,,,8.94,0.0
Braelon Allen,,,,,,96.2,,,,,,,,,,,,,,,,,,,,,19.6,0.0
Brandin Cooks,,,,,,571.8,,,,,,,,,,,,,,,,,,,,,32.3,0.0
Brandon Aiyuk,,,,,,676.6,,,,,,,,,,,,,,,,,,,,,32.9,0.0
Brandon Bolden,,,,,,29.5,,,,,,,,,,,,,,,,,,,,,10.0,3.6
Brashard Smith,,,,,,45.0,,,,,,,,,,,,,,,,,,,,,13.1,-0.2
Braxton Berrios,,,,,,25.7,,,,,,,,,,,,,,,,,,,,,25.7,25.7
Breece Hall,,,,,,780.0600000000001,,,,,,,,,,,,,,,,,,,,,43.1,0.0
Brenton Strange,,,,,,94.6,,,,,,,,,,,,,,,,,,,,,14.9,0.0
Brevin Jordan,,,,,,71.5,,,,,,,,,,,,,,,,,,,,,13.1,0.0
Brian Robinson,,,,,,511.3,,,,,,,,,,,,,,,,,,,,,28.9,0.0
Brian Thomas,,,,,,389.7,,,,,,,,,,,,,,,,,,,,,32.5,0.0
Brock Bowers,,,,,,423.9,,,,,,,,,,,,,,,,,,,,,43.3,0.0
Brock Purdy,,,,,,759.94,,,,,,,,,,,,,,,,,,,,,30.28,0.0
Bryan Edwards,,,,,,84.5,,,,,,,,,,,,,,,,,,,,,17.8,0.0
Bryce Perkins,,,,,,8.9,,,,,,,,,,,,,,,,,,,,,8.4,0.5
Bryce Young,,,,,,493.44,,,,,,,,,,,,,,,,,,,,,31.82,-0.16
Bub Means,,,,,,11.3,,,,,,,,,,,,,,,,,,,,,6.7,0.0
Bucky Irving,,,,,,346.4,,,,,,,,,,,,,,,,,,,,,27.5,0.0
C.J. Stroud,,,,,,639.36,,,,,,,,,,,,,,,,,,,,,40.8,0.0
Cade Otton,,,,,,279.7,,,,,,,,,,,,,,,,,,,,,29.1,-0.4
Caleb Huntley,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,3.4,0.0
Caleb Williams,,,,,,512.22,,,,,,,,,,,,,,,,,,,,,38.7,0.0
Calvin Austin,,,,,,74.0,,,,,,,,,,,,,,,,,,,,,15.2,0.0
Calvin Ridley,,,,,,513.6,,,,,,,,,,,,,,,,,,,,,31.1,0.0
Cam Akers,,,,,,190.9,,,,,,,,,,,,,,,,,,,,,34.7,0.0
Cam Miller,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
Cam Newton,,,,,,83.36,,,,,,,,,,,,,,,,,,,,,26.16,0.0
Cam Skattebo,,,,,,127.7,,,,,,,,,,,,,,,,,,,,,31.0,0.0
Cam Ward,,,,,,157.44,,,,,,,,,,,,,,,,,,,,,23.94,0.0
Carlos Hyde,,,,,,7.3,,,,,,,,,,,,,,,,,,,,,7.3,7.3
Carson Steele,,,,,,8.9,,,,,,,,,,,,,,,,,,,,,8.4,-0.4
Carson Wentz,,,,,,351.12,,,,,,,,,,,,,,,,,,,,,27.72,0.0
Cedric Tillman,,,,,,143.79999999999998,,,,,,,,,,,,,,,,,,,,,28.9,0.0
CeeDee Lamb,,,,,,1331.7,,,,,,,,,,,,,,,,,,,,,41.0,0.0
Chase Brown,,,,,,532.7,,,,,,,,,,,,,,,,,,,,,32.9,0.0
Chase Claypool,,,,,,248.73999999999998,,,,,,,,,,,,,,,,,,,,,24.0,0.0
Chase Edmonds,,,,,,194.8,,,,,,,,,,,,,,,,,,,,,26.7,0.0
Chig Okonkwo,,,,,,171.6,,,,,,,,,,,,,,,,,,,,,18.5,0.0
Chimere Dike,,,,,,102.0,,,,,,,,,,,,,,,,,,,,,21.4,-0.4
Chris Carson,,,,,,48.1,,,,,,,,,,,,,,,,,,,,,16.2,0.0
Chris Evans,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,3.5,3.5
Chris Godwin,,,,,,847.6,,,,,,,,,,,,,,,,,,,,,35.5,0.0
Chris Olave,,,,,,718.7,,,,,,,,,,,,,,,,,,,,,36.8,-0.5
Chris Rodriguez,,,,,,51.8,,,,,,,,,,,,,,,,,,,,,19.5,0.0
Christian Kirk,,,,,,697.58,,,,,,,,,,,,,,,,,,,,,31.5,0.0
Christian McCaffrey,,,,,,1277.86,,,,,,,,,,,,,,,,,,,,,48.7,0.0
Christian Watson,,,,,,464.2,,,,,,,,,,,,,,,,,,,,,32.7,0.0
Chuba Hubbard,,,,,,704.1999999999999,,,,,,,,,,,,,,,,,,,,,32.5,0.0
Clayton Tune,,,,,,-0.88,,,,,,,,,,,,,,,,,,,,,-0.88,-0.88
Clyde Edwards-Helaire,,,,,,275.6,,,,,,,,,,,,,,,,,,,,,22.4,0.0
Colby Parkinson,,,,,,28.2,,,,,,,,,,,,,,,,,,,,,12.2,0.0
Cole Beasley,,,,,,157.9,,,,,,,,,,,,,,,,,,,,,21.8,0.0
Cole Kmet,,,,,,494.6,,,,,,,,,,,,,,,,,,,,,27.6,0.0
Colston Loveland,,,,,,118.60000000000001,,,,,,,,,,,,,,,,,,,,,29.8,0.0
Cooper Kupp,,,,,,1009.0,,,,,,,,,,,,,,,,,,,,,37.6,0.0
Cooper Rush,,,,,,65.6,,,,,,,,,,,,,,,,,,,,,18.06,-2.0
