Player,Year,Top Team,Last team,Number of teams,Number of transactions,Number of trades,Points,Avg points,Weeks missed due to injury,Weeks missed due to suspension,Weeks as starter,% of points (highest team),% of points (lowest team),Change in points from previous season,Change in avg points from previous season,Change in points from career,Change in avg points from career,Times as Player of the week?,Times as QB of the week?,Times as RB of the week?,Times as WR of the week?,Times as TE of the week?,Times as Benchwarmer of the week?,Times as Bench QB of the week?,Times as Bench RB of the week?,Times as Bench WR of the week?,Times as Bench TE of the week?,Times as Highest starter on team?,Times as Lowest starter on team?,Rookie?,Age,Best week,Worst week
A.J. Brown,2021,,,,,,164.1,,,,,,,,,,,,,,,,,,,,,,,,,31.5,0.0
A.J. Brown,2022,,,,,,286.1,,,,,,,,,,,,,,,,,,,,,,,,,39.6,0.0
A.J. Brown,2023,,,,,,289.7,,,,,,,,,,,,,,,,,,,,,,,,,38.5,0.0
A.J. Brown,2024,,,,,,216.9,,,,,,,,,,,,,,,,,,,,,,,,,25.0,0.0
A.J. Brown,2025,,,,,,208.5,,,,,,,,,,,,,,,,,,,,,,,,,35.2,0.0
A.J. Dillon,2021,,,,,,176.9,,,,,,,,,,,,,,,,,,,,,,,,,26.8,-1.2
A.J. Dillon,2022,,,,,,163.3,,,,,,,,,,,,,,,,,,,,,,,,,22.1,0.0
A.J. Dillon,2023,,,,,,117.6,,,,,,,,,,,,,,,,,,,,,,,,,13.6,0.0
A.J. Green,2021,,,,,,57.900000000000006,,,,,,,,,,,,,,,,,,,,,,,,,17.2,0.0
A.T. Perry,2023,,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,1.7,0.0
AJ Barner,2024,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
AJ Barner,2025,,,,,,76.5,,,,,,,,,,,,,,,,,,,,,,,,,16.1,0.0
Aaron Jones,2021,,,,,,228.0,,,,,,,,,,,,,,,,,,,,,,,,,41.5,0.0
Aaron Jones,2022,,,,,,238.8,,,,,,,,,,,,,,,,,,,,,,,,,32.0,0.0
Aaron Jones,2023,,,,,,114.8,,,,,,,,,,,,,,,,,,,,,,,,,26.7,0.0
Aaron Jones,2024,,,,,,227.1,,,,,,,,,,,,,,,,,,,,,,,,,25.8,0.0
Aaron Jones,2025,,,,,,102.4,,,,,,,,,,,,,,,,,,,,,,,,,15.9,0.0
Aaron Rodgers,2021,,,,,,316.08,,,,,,,,,,,,,,,,,,,,,,,,,32.5,0.0
Aaron Rodgers,2022,,,,,,224.0,,,,,,,,,,,,,,,,,,,,,,,,,19.36,0.0
Aaron Rodgers,2023,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
Aaron Rodgers,2024,,,,,,228.62,,,,,,,,,,,,,,,,,,,,,,,,,30.06,0.0
Aaron Rodgers,2025,,,,,,200.0,,,,,,,,,,,,,,,,,,,,,,,,,25.66,0.0
Adam Thielen,2021,,,,,,198.8,,,,,,,,,,,,,,,,,,,,,,,,,30.2,0.0
Adam Thielen,2022,,,,,,170.79999999999998,,,,,,,,,,,,,,,,,,,,,,,,,21.1,0.0
Adam Thielen,2023,,,,,,225.8,,,,,,,,,,,,,,,,,,,,,,,,,31.5,0.0
Adam Thielen,2024,,,,,,130.1,,,,,,,,,,,,,,,,,,,,,,,,,28.0,0.0
