Team,Week,Year,PF,Win?,Opponent,Points against,Margin,Max PF,Efficiency,Number of Injuries,Number of suspensions,Number of players on bye,Largest deficit overcome (if win),Starter turnover from previous week,Difference in pregame avg max PF from opponent,UPST,Hardship,Tanking,Luck,Brosenzweig,Sisenzweig,Highest score?,Lowest score?,Narrowest victory?,Largest blowout?,Most efficient?,Least efficient?,Increase in points from previous week,Number of QB started,Number of WR started,Number of RB started,Number of TE started,Number of QB rostered,Number of WR rostered,Number of RB rostered,Number of TE rostered,Number of transactions,Number of trades,Amount of FAAB spent,Most number of players started from same NFL team,Most number of players rostered from same NFL team,Most number of QBs started from same NFL team,Most number of QBs rostered from same NFL team,Most number of RBs started from same NFL team,Most number of RBs rostered from same NFL team,Most number of WR started from same NFL team,Most number of WR rostered from same NFL team,Most number of TE started from same NFL team,Most number of TE rostered from same NFL team,Number of NFL teams among starting players,Number of NFL teams amoung rostered players,Number of rookies started,Number of rookies rostered,Player average age,Win streak,Loss streak,Win streak counting previous season,Loss streak counting previous season,Top half of league?,Difference between highest and lowest starters,Combined matchup score,Number of donuts,Number of players under 10,Number of players over 20,Number of players over 30,Number of players over 40,Number of players over 50,Number of cuffs rostered,Number of cuffs started,Future draft capital,Startup draft players remaining,WeekNum,Week_Sort,Week_Group,_week_sort
AceMatthew,1,2021,154.54,1.0,shmuel256,143.58,10.96,0.0,,0,0,0,,,,0.0,0.0,,0.5714,0,0,,,,,,,,2,3,3,1,5,11,7,2,7,1,0.0,1,2,,,,,,,,,8,16,0,0,25.91,1,0,,,,27.22,298.12,0,1,3,0,0,0,,,,,1,1,1,1
AceMatthew,2,2021,85.12,0.0,stevenb123,165.96,-80.84,0.0,,0,0,0,,4.0,,0.0,0.0,,0.0,0,0,,,,,,,-69.41999999999999,2,4,2,1,5,11,7,2,0,0,0.0,1,2,,,,,,,,,7,16,0,0,25.93,0,1,,,,22.2,251.08,0,6,1,0,0,0,,,,,2,2,2,2
AceMatthew,3,2021,80.26,0.0,JacobRosenzweig,162.76,-82.5,0.0,,0,0,0,,6.0,,0.0,0.0,,0.0,0,0,,,,,,,-4.859999999999999,2,3,3,1,5,11,7,2,0,0,0.0,1,2,,,,,,,,,7,16,0,0,25.95,0,2,,,,19.44,243.02,0,6,1,0,0,0,,,,,3,3,3,3
AceMatthew,4,2021,138.46,1.0,LWebs53,128.18,10.28,0.0,,0,0,0,,4.0,,0.0,0.0,,0.5714,0,0,,,,,,,58.2,2,3,3,1,5,11,7,2,2,0,0.0,1,2,,,,,,,,,7,16,0,0,25.98,1,0,,,,25.42,266.64,0,2,2,0,0,0,,,,,4,4,4,4
AceMatthew,5,2021,160.8,0.0,plehv79,162.58,-1.78,0.0,,0,0,0,,8.0,,0.0,0.0,,-0.4286,0,0,,,,,,,22.340000000000003,2,4,2,1,5,10,7,3,3,0,0.0,1,2,,,,,,,,,6,15,0,0,26.29,0,1,,,,31.4,323.38,1,2,5,1,0,0,,,,,5,5,5,5
AceMatthew,6,2021,171.46,1.0,Oliverwkw,155.16,16.3,0.0,,0,0,1,,4.0,,0.0,0.0,,0.1429,0,0,,,,,,,10.659999999999997,2,3,3,1,5,10,7,3,1,0,0.0,1,2,,,,,,,,,8,15,0,0,26.44,1,0,,,,21.7,326.62,0,1,5,0,0,0,,,,,6,6,6,6
AceMatthew,7,2021,113.4,0.0,BROsenzweig,156.48,-43.08,0.0,,0,0,4,,8.0,,0.0,0.0,,-0.1429,0,0,,,,,,,-58.06,2,3,3,1,4,10,8,3,1,0,0.0,1,2,,,,,,,,,7,14,0,0,26.5,0,1,,,,14.62,269.88,0,2,0,0,0,0,,,,,7,7,7,7
AceMatthew,8,2021,85.26,0.0,shmuel256,102.6,-17.34,0.0,,0,0,1,,4.0,,0.0,0.0,,0.0,0,0,,,,,,,-28.14,2,3,3,1,4,10,8,3,0,0,0.0,1,2,,,,,,,,,7,14,0,0,26.52,0,2,,,,25.1,187.86,1,5,1,0,0,0,,,,,8,8,8,8
AceMatthew,9,2021,114.22,0.0,stevenb123,139.12,-24.9,0.0,,0,0,0,,12.0,,0.0,0.0,,-0.4286,0,0,,,,,,,28.959999999999994,2,3,3,1,4,11,7,3,1,0,0.0,2,2,,,,,,,,,5,14,0,0,26.69,0,3,,,,24.1,253.34,0,3,1,0,0,0,,,,,9,9,9,9
AceMatthew,10,2021,113.48,1.0,JacobRosenzweig,107.08,6.4,0.0,,0,0,2,,6.0,,0.0,0.0,,0.7143,0,0,,,,,,,-0.7399999999999949,2,3,2,2,4,11,7,3,0,0,0.0,1,2,,,,,,,,,7,14,0,0,26.71,1,0,,,,23.94,220.56,0,4,2,0,0,0,,,,,10,10,10,10
