Year,Week Name,Week,PF,Avg margin,Margin range,Number of games within 10,Number of games within 5,UPST,PF Range,Max PF,Efficiency,Increase in points from previous week,Highest starter score,Lowest starter score,Number of QB started,Number of WR started,Number of RB started,Number of TE started,Number of QB rostered,Number of WR rostered,Number of RB rostered,Number of TE rostered,Most number of players started from same NFL team,Most number of players rostered from same NFL team,Most number of QBs started from same NFL team,Most number of QBs rostered from same NFL team,Most number of RBs started from same NFL team,Most number of RBs rostered from same NFL team,Most number of WR started from same NFL team,Most number of WR rostered from same NFL team,Most number of TE started from same NFL team,Most number of TE rostered from same NFL team,Number of NFL teams among starting players,Number of NFL teams among rostered players,Stacks,Number of rookies started,Number of rookies rostered,% of players drafted,% of 3rd year+ players drafted,Player average age,Team age including picks,Difference between highest and lowest starters,Number of donuts,Number of starting donuts,Number of players under 10,Number of players over 20,Number of players over 30,Number of players over 40,Number of players over 50,% of starters boom,% of starters upper quartile,% of starters middle 50%,% of starters lower quartile,% of starters bust,Number of cuffs rostered,Number of cuffs started,Startup draft players remaining,Number of Injuries,Number of suspensions,Number of players on bye,Hardship,Starter-adjusted Hardship,Starter turnover from previous week,Number of Add/Drops,Number of waiver adds,Number of free agency adds,Number of pure drops,Number of trades,Total transactions,Amount of FAAB spent
2020,Week 1,1,1204.12,27.04,64.28,1,1,,67.42,1402.7,0.8575,,41.6,2.6,16,26,22,8,21,60,56,19,2,3,1,2,1,2,1,1,1,1,9,18,5,4,23,95.5,94.6,26.26,23.865,39.0,2,0,62,29,5,1,0,13.9,15.3,54.2,12.5,4.2,0,0,148,10,0,0,83.28,0.0,,14,1,9,4,2,16,
2020,Week 2,2,1177.74,27.165,47.8,0,0,,127.62,1495.58,0.7765,-26.379999999999995,45.6,0.0,16,26,22,8,20,64,55,19,2,3,1,2,1,2,2,2,1,1,9,17,5,4,24,88.6,90.8,26.23,23.87,45.6,4,2,62,34,7,1,0,16.9,16.9,39.4,19.7,7.0,2,1,143,14,0,0,158.04,98.612,15.0,14,2,11,1,1,15,
2020,Week 3,3,1168.32,20.3,34.62,2,0,,54.5,1412.76,0.8307,-9.420000000000002,44.7,0.0,16,29,18,9,24,67,55,19,3,3,1,2,1,2,1,2,1,1,9,18,6,4,27,81.8,83.3,26.1925,23.91875,44.7,4,1,63,31,10,1,0,14.1,12.7,52.1,14.1,7.0,6,0,139,25,0,0,315.04,122.844,18.0,21,5,15,1,0,21,
2020,Week 4,4,1173.84,26.01,41.88,1,0,1,64.8,1404.78,0.8363,5.52,40.1,0.0,16,28,19,9,26,69,52,18,2,3,1,2,1,2,1,2,1,1,9,18,7,6,29,78.8,82.7,26.1225,23.88375,40.1,4,1,47,36,6,2,0,11.1,19.4,52.8,5.6,11.1,5,2,138,25,0,10,315.66,96.238,20.0,13,1,8,4,2,15,
2020,Week 5,5,1120.96,20.3,21.86,1,0,3,79.86,1379.72,0.811,-52.879999999999995,29.9,0.0,16,29,19,8,23,68,55,19,3,3,1,1,1,2,1,2,1,1,9,17,7,7,28,76.4,80.9,26.0913,23.8725,29.9,3,1,43,31,2,1,0,6.9,22.2,50.0,11.1,9.7,4,2,138,18,0,20,236.888,78.5876,23.0,7,2,5,0,1,8,
2020,Week 6,6,1034.26,7.705,7.1,3,1,1,38.44,1237.4,0.8484,-86.7,40.4,0.0,15,27,21,9,24,66,56,19,2,4,1,1,1,2,1,2,1,1,9,17,5,8,27,74.5,76.5,26.2312,23.97375,40.4,5,1,54,20,5,1,0,8.3,12.5,58.3,8.3,12.5,1,1,136,24,0,21,305.704,87.2852,27.0,14,1,11,2,0,14,
2020,Week 7,7,1150.56,47.4,56.04,0,0,0,87.1,1386.24,0.8297,116.3,53.0,-1.2,15,28,21,8,24,67,56,19,2,4,1,1,1,2,1,2,1,1,9,17,5,8,27,72.3,73.3,26.2812,24.01625,54.2,5,1,47,28,6,2,1,12.7,18.3,45.1,12.7,11.3,5,4,135,22,0,16,354.702,170.7304,26.0,15,2,11,2,0,15,
2020,Week 8,8,1014.02,38.135,63.3,1,0,1,69.22,1224.24,0.8264,-136.54,48.6,-0.24,16,28,18,10,24,66,58,17,2,4,1,1,1,2,1,2,1,1,9,17,7,7,28,72.1,73.7,26.345,24.05875,48.84,2,1,52,21,4,2,0,8.3,13.9,40.3,27.8,9.7,8,4,135,28,0,14,431.862,205.1992,27.0,13,2,8,3,1,14,
2020,Week 9,9,1090.78,19.335,30.04,1,0,3,62.56,1268.02,0.857,76.75999999999999,39.2,0.0,15,28,21,8,23,66,57,19,2,4,1,1,1,2,1,2,1,1,9,17,5,12,31,72.7,75.7,26.2338,23.99625,39.2,4,2,52,28,7,0,0,11.3,15.5,50.7,11.3,11.3,7,3,133,23,0,21,306.968,135.4032,28.0,11,1,10,0,0,11,
2020,Week 10,10,977.2,10.46,28.38,3,2,2,41.46,1201.24,0.814,-113.58,34.8,0.0,16,28,20,8,24,67,56,18,2,4,1,1,1,2,1,2,1,1,9,17,5,9,27,71.5,72.8,26.3538,24.0775,34.8,2,1,59,23,2,0,0,6.9,16.7,41.7,20.8,13.9,3,0,134,23,0,19,315.168,145.136,27.0,12,2,9,1,0,12,
