Year,Number,Player Picked,Team,Original Team,Number of starts before next transaction,Number of trades,Commissioner moved?,Avg PPG on team,Avg PPG on team adjusted by position,Pick-adjusted Difference in Avg PPG on team adjusted by position,Avg career PPG,Avg career PPG adjusted by position,Pick-adjusted Difference in Avg career PPG adjusted by position,Player addition value,Pick-adjusted Difference in Player addition value,% of starts made while rostered by drafting team,Points added,Avg points added,Avg points added adjusted by position,Pick-adjusted Difference in Avg points added adjusted by position,O-Score,Age when drafted,Cuff when drafted?,Tanking,Injury adjusted % of starts made while rostered by drafting team,KTC on draft day,Pick-adjusted Difference in KTC on draft day,KTC at end of rookie year,Pick-adjusted Difference in KTC at end of rookie year,KTC 1 year after draft day,Pick-adjusted Difference in KTC 1 year after draft day,KTC 2 years after draft day,Pick-adjusted Difference in KTC 2 years after draft day,KTC 3 years after draft day,Pick-adjusted Difference in KTC 3 years after draft day,KTC 4 years after draft day,Pick-adjusted Difference in KTC 4 years after draft day,Length of tenure on team,Weeks before first start,Link to next transaction,Link to previous transaction
2021 (vet),1.01,AJ Dillon,stevenb123,stevenb123,0,0,False,6.44,6.46,-1.9729,8.69,8.71,-0.2487,6.46,-8.5672,0.0,0.0,0.0,0.0,-5.8987,38.0,23.33,False,0.0004,0.0,3561.0,480.75,4396.0,1705.625,4743.0,2300.625,2914.0,1265.875,677.0,-355.125,1070.0,360.375,59.0,,T#363,
2021 (vet),1.02,Marquise Brown,JacobRosenzweig,JacobRosenzweig,19,0,False,13.62,14.36,7.0557,10.98,11.58,2.98,38.7428,28.3274,0.5588,251.2,13.22,13.94,9.7837,77.0,24.24,False,-0.0002,0.7308,2864.0,-303.375,3584.0,792.125,4428.0,1946.25,3604.0,2042.125,2944.0,2195.25,2087.0,1504.5,722.0,6,T#121,
2021 (vet),1.03,Damien Harris,AceMatthew,AceMatthew,0,0,False,,,,9.84,9.86,1.045,,,,0.0,0.0,0.0,-5.8987,34.0,24.54,False,-0.0011,,3687.0,622.5,3601.0,811.25,2729.0,34.875,1891.0,115.0,0.0,-1116.75,0.0,-843.375,0.0,,T#6,
2021 (vet),1.04,Mike Gesicki,BROsenzweig,BROsenzweig,9,0,False,9.09,10.92,3.1243,7.07,8.49,-0.4962,23.3343,10.7177,0.45,99.9,11.1,13.34,9.1088,61.9,25.91,False,-0.002,0.4737,2948.0,-208.875,2737.0,-160.75,2307.0,-439.875,1321.0,-526.25,1288.0,332.25,1751.0,1126.5,394.0,3,T#57,
2021 (vet),1.05,Michael Gallup,plehv79,plehv79,3,0,False,10.17,10.72,2.8957,7.54,7.95,-1.1038,16.8157,3.2679,0.1765,24.5,8.17,8.61,3.7875,44.0,25.49,False,-0.0028,0.3333,3377.0,273.75,3056.0,198.125,2796.0,110.25,1950.0,181.375,0.0,-1116.75,0.0,-843.375,333.0,13,T#296,
2021 (vet),1.06,Gus Edwards,LWebs53,LWebs53,0,0,False,0.0,0.0,-9.7786,7.99,8.01,-0.8738,0.0,-16.5411,0.0,0.0,0.0,0.0,-6.69,25.8,26.38,False,0.0024,,3682.0,652.25,1857.0,-780.125,1361.0,-1035.75,1094.0,-507.25,2270.0,1521.625,0.0,-709.625,79.0,,T#159,
2021 (vet),1.07,Tyler Higbee,Oliverwkw,Oliverwkw,7,0,False,8.54,10.27,3.64,8.33,10.01,1.31,13.5377,3.3277,0.1373,65.8,9.4,11.3,6.6188,58.1,28.66,False,-0.007,0.1591,2565.0,-639.25,1847.0,-684.75,1388.0,-674.0,1551.0,-98.0,1001.0,-450.625,1199.0,177.0,1092.0,5,#961,
2021 (vet),1.08,Melvin Gordon,shmuel256,shmuel256,0,0,False,12.73,12.76,5.2375,9.97,9.99,1.02,12.76,-1.6511,0.0,0.0,0.0,0.0,-7.9588,36.5,28.38,False,-0.0056,0.0,2055.0,-1129.625,2223.0,-241.0,2187.0,3.75,130.0,-1856.75,0.0,-1816.75,0.0,-1171.875,75.0,,T#53,
2021 (vet),2.01,Irv Smith,shmuel256,shmuel256,0,0,False,0.0,0.0,-9.0838,4.81,5.78,-3.9737,0.0,-15.9592,0.0,0.0,0.0,0.0,-7.7413,23.0,23.06,False,-0.0003,,3464.0,429.5,2618.0,282.5,2343.0,161.125,1644.0,11.625,754.0,-807.5,640.0,-233.0,55.0,,T#157,
2021 (vet),2.02,Marquez Callaway,Oliverwkw,Oliverwkw,1,0,False,8.93,9.42,1.9157,7.02,7.41,-2.8038,10.5975,-3.7254,0.0588,6.0,6.0,6.33,0.4562,32.5,23.43,False,0.0004,0.0625,3278.0,273.0,1431.0,-975.125,996.0,-1295.75,719.0,-1052.125,0.0,-1983.5,0.0,-1352.125,308.0,7,#887,
