Player,Top team,Last team,Number of teams,Taxi-eligible,Points,Points (full career),Avg points,Avg points (full career),Adjusted Avg points,Times as Player of the week?,Times as QB of the week?,Times as RB of the week?,Times as WR of the week?,Times as TE of the week?,Times as Benchwarmer of the week?,Times as Bench QB of the week?,Times as Bench RB of the week?,Times as Bench WR of the week?,Times as Bench TE of the week?,Times as Highest starter on team?,Times as Lowest starter on team?,Times as Captain?,Number of Add/Drops,Number of drops,Number of trades,Starter scoring volatility,Starter scoring floor,Starter scoring ceiling,Starter boom %,Starter bust %,Starter upper quartile %,Starter middle 50% %,Starter lower quartile %,Starter PAR,Starter PAR per game,Rostered scoring volatility,Rostered scoring floor,Rostered scoring ceiling,Rostered boom %,Rostered bust %,Rostered upper quartile %,Rostered middle 50% %,Rostered lower quartile %,Rostered consistency percentile,Rostered floor percentile,Rostered ceiling percentile,Consistency percentile,Floor percentile,Ceiling percentile,Weeks missed due to injury,Weeks missed due to suspension,Weeks as starter,Weeks on bench,Weeks rostered,% of starts,Win % as starter,Win % while rostered,Championships rostered by,Championships started by,Championships started in,Total points as starter,% of league points,PPG starter,Adjusted PPG starter,PPG bench,Adjusted PPG bench,PPG starter vs bench diff
A.J. Brown,plehv79,BROsenzweig,3,False,1397.1,1810.7,13.564077669902911,15.216,16.2453,2,0,0,5,0,1,0,0,1,0,11,11,1,0,0,2,9.04,0.3,39.6,13.4,9.8,23.2,45.1,8.5,846.27,10.32,9.04,0.3,39.6,14.0,9.3,22.1,45.3,9.3,9.3,67.0,92.2,22.3,34.7,89.3,11,0,82,21,103,0.7961,0.4634,0.4951,0,0,0,1326.3,0.0115,16.1744,16.1744,3.3714,17.7,-1.5256
A.J. Green,Oliverwkw,Oliverwkw,4,False,87.7,477.1,5.846666666666667,8.6745,6.7462,0,0,0,0,0,1,0,0,0,0,0,4,0,11,6,1,4.07,0.0,10.4,0.0,50.0,0.0,33.3,16.7,0.03,0.0,5.11,0.0,17.2,0.0,38.5,0.0,46.2,15.4,67.3,38.0,41.8,85.9,19.3,19.7,1,0,6,9,15,0.4,0.6667,0.5333,0,0,0,30.1,0.0003,5.0167,5.0167,6.4,8.2286,-3.2119
A.T. Perry,AceMatthew,AceMatthew,2,False,3.2,60.6,1.0666666666666667,7.575,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,,,,,,,,,,,0.14,1.5,1.7,0.0,100.0,0.0,0.0,0.0,98.3,72.8,6.2,,,,0,0,0,3,3,0.0,,,0,0,0,0.0,0.0,,,1.0667,1.6,-1.6
Aaron Jones,BROsenzweig,BROsenzweig,4,False,1183.3,1875.7,11.488349514563106,15.1266,14.0869,1,0,2,0,0,0,0,0,0,0,4,7,1,0,0,4,8.3,2.4,45.6,7.7,7.7,13.8,60.0,10.8,533.65,8.21,7.88,2.3,45.6,6.0,10.7,11.9,59.5,11.9,21.1,78.1,95.3,27.3,37.5,93.6,13,0,65,38,103,0.6311,0.6308,0.6311,1,1,0,983.3,0.0085,15.1277,15.1277,5.2632,10.5263,4.6014
Aaron Rodgers,shmuel256,BROsenzweig,5,False,1343.8,2111.28,13.046601941747573,17.1649,16.7975,0,0,0,0,0,1,3,0,0,0,7,7,0,2,1,4,8.46,0.0,32.5,6.7,13.3,26.7,46.7,6.7,372.44,8.28,7.83,0.0,32.5,6.2,12.5,16.2,47.5,17.5,44.1,47.4,70.5,28.8,11.0,64.7,17,0,45,58,103,0.4369,0.6,0.6019,2,2,0,826.18,0.0072,18.3596,18.3596,8.9245,14.7891,3.5705
Adam Randall,stevenb123,stevenb123,1,True,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,2,2,0.0,,,0,0,0,0.0,0.0,,,0.0,,
Adam Thielen,JacobRosenzweig,stevenb123,5,False,976.4,1503.3,11.222988505747127,12.9595,13.7521,0,0,0,1,0,1,0,0,1,0,7,4,1,1,1,4,9.32,0.0,32.3,18.8,10.4,14.6,37.5,18.8,411.41,8.4,8.79,0.0,32.3,14.1,11.3,14.1,42.3,18.3,10.8,38.0,81.0,16.4,19.3,74.7,11,0,49,38,87,0.5632,0.3469,0.3678,0,0,0,700.5,0.0061,14.2959,14.5938,7.2605,11.9957,2.5981
Adam Trautman,LWebs53,LWebs53,1,False,,301.4,,3.8152,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,,,0,0,0,0.0,0.0,,,,,
Adonai Mitchell,BROsenzweig,BROsenzweig,2,False,161.95999999999998,161.96,4.498888888888889,4.6274,4.9079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,5.53,-3.0,24.2,0.0,57.6,3.0,18.2,21.2,60.6,0.4,57.8,,,,2,0,0,36,36,0.0,,0.4722,0,0,0,0.0,0.0,,,4.4989,4.9079,-4.9079
Adrian Peterson,stevenb123,stevenb123,2,False,13.7,482.1,4.566666666666666,9.4529,6.85,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,,4.1,4.1,0.0,100.0,0.0,0.0,0.0,-2.23,-2.23,3.89,4.1,9.6,0.0,50.0,0.0,50.0,0.0,78.4,91.3,26.9,,58.9,8.6,1,0,1,2,3,0.3333,,,1,0,0,4.1,0.0,4.1,4.1,4.8,9.6,-5.5
