Player,Year,Top Team,Last team,Rookie?,Age,Points,Points (full season),Avg points,Avg points (full season),Adjusted Avg points,Times as Player of the week?,Times as QB of the week?,Times as RB of the week?,Times as WR of the week?,Times as TE of the week?,Times as Benchwarmer of the week?,Times as Bench QB of the week?,Times as Bench RB of the week?,Times as Bench WR of the week?,Times as Bench TE of the week?,Times as Highest starter on team?,Times as Lowest starter on team?,Times as Captain?,Number of teams,Number of transactions,Number of drops,Number of trades,Starter scoring volatility,Starter scoring floor,Starter scoring ceiling,Starter boom %,Starter bust %,Starter upper quartile %,Starter middle 50% %,Starter lower quartile %,Starter PAR,Starter PAR per game,Rostered scoring volatility,Rostered scoring floor,Rostered scoring ceiling,Rostered boom %,Rostered bust %,Rostered upper quartile %,Rostered middle 50% %,Rostered lower quartile %,Rostered consistency percentile,Rostered floor percentile,Rostered ceiling percentile,Consistency percentile,Floor percentile,Ceiling percentile,Weeks missed due to injury,Weeks missed due to suspension,Weeks as starter,Weeks on bench,Weeks rostered,% of starts,Win % as starter,Win % while rostered,Total points as starter,% of league points,Change in points from previous season,Change in avg points from previous season,Change in points from career,Change in avg points from career,PPG starter,Adjusted PPG starter,PPG bench,Adjusted PPG bench,PPG starter vs bench diff
A.J. Brown,2020,plehv79,plehv79,False,23.32,214.4,265.8,13.4,17.72,16.4923,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,8.09,3.1,27.3,8.3,8.3,41.7,41.7,0.0,122.27,10.19,7.75,3.1,27.3,7.7,7.7,38.5,46.2,0.0,38.0,52.3,67.8,42.9,32.3,71.5,2,0,12,4,16,0.75,0.5,0.5625,198.2,0.011,,,36.4,5.6463,16.5167,16.5167,4.05,16.2,0.3167
A.J. Brown,2021,plehv79,plehv79,False,24.33,164.1,206.1,9.652941176470588,14.7214,13.675,1,0,0,1,0,1,0,0,1,0,2,2,0,1,0,0,0,10.1,0.3,31.5,20.0,20.0,0.0,40.0,20.0,66.24,6.62,10.85,0.3,31.5,25.0,16.7,0.0,33.3,25.0,3.4,23.7,84.2,12.2,16.9,76.3,4,0,10,7,17,0.5882,0.5,0.4706,125.8,0.0067,-59.70000000000002,-2.9985999999999997,-41.5,0.1567,12.58,12.58,5.4714,19.15,-6.57
A.J. Brown,2022,plehv79,plehv79,False,25.33,286.1,333.2,16.829411764705885,16.66,17.8813,0,0,0,1,0,0,0,0,0,0,3,0,1,1,0,0,0,9.91,1.7,39.6,20.0,6.7,13.3,53.3,6.7,180.98,12.07,9.58,1.7,39.6,18.8,6.2,12.5,56.2,6.2,9.7,50.5,96.0,14.0,27.9,97.1,0,0,15,2,17,0.8824,0.2,0.2353,269.8,0.015,127.1,1.938600000000001,99.4333,2.0496,17.9867,17.9867,8.15,16.3,1.6867
A.J. Brown,2023,plehv79,plehv79,False,26.32,289.7,289.6,17.041176470588233,17.0353,18.1062,0,0,0,2,0,0,0,0,0,0,2,2,0,1,0,0,0,9.53,1.8,38.5,18.8,6.2,18.8,50.0,6.2,192.83,12.05,9.53,1.8,38.5,18.8,6.2,18.8,50.0,6.2,13.0,55.2,93.3,25.0,33.1,88.7,0,0,16,1,17,0.9412,0.625,0.5882,289.7,0.0162,-43.599999999999966,0.3752999999999993,30.975,1.8221,18.1062,18.1062,0.0,,18.1062
A.J. Brown,2024,plehv79,plehv79,False,27.33,216.9,257.2,12.758823529411766,15.1294,16.6846,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6.63,5.6,25.0,0.0,0.0,46.2,46.2,7.7,141.19,10.86,6.63,5.6,25.0,0.0,0.0,46.2,46.2,7.7,52.7,90.2,63.1,70.0,71.8,56.3,3,0,13,4,17,0.7647,0.3846,0.4706,216.9,0.0107,-32.400000000000034,-1.905899999999999,-7.62,-0.4482,16.6846,16.6846,0.0,,16.6846
A.J. Brown,2025,BROsenzweig,BROsenzweig,False,28.33,220.3,225.8,12.958823529411765,14.1125,14.6867,1,0,0,1,0,0,0,0,0,0,3,4,0,3,0,0,2,9.75,1.8,35.2,13.3,20.0,13.3,46.7,6.7,141.48,9.43,9.75,1.8,35.2,13.3,20.0,13.3,46.7,6.7,7.1,61.4,93.0,20.5,34.6,88.2,1,0,15,2,17,0.8824,0.6,0.6471,220.3,0.0112,-31.399999999999977,-1.0168999999999997,-37.75,-1.3904,14.6867,14.6867,0.0,,14.6867
A.J. Green,2020,BROsenzweig,AceMatthew,False,32.14,29.8,111.3,4.966666666666667,6.9563,4.9667,0,0,0,0,0,1,0,0,0,0,0,4,0,3,5,3,0,3.47,0.0,8.6,0.0,60.0,0.0,20.0,20.0,-6.75,-1.35,3.99,0.0,10.1,0.0,50.0,0.0,33.3,16.7,84.8,13.8,16.1,92.0,9.2,15.4,0,0,5,1,6,0.8333,0.6,0.5,19.7,0.0011,,,-38.1,-9.6437,3.94,3.94,10.1,10.1,-6.16
A.J. Green,2021,Oliverwkw,Oliverwkw,False,33.32,57.900000000000006,156.8,6.433333333333334,9.2235,8.2714,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,1,,10.4,10.4,0.0,0.0,0.0,100.0,0.0,6.78,6.78,5.75,1.4,17.2,0.0,28.6,0.0,57.1,14.3,58.0,30.5,32.6,,93.2,16.9,1,0,1,8,9,0.1111,1.0,0.5556,10.4,0.0005,45.500000000000014,2.2672,26.45,-1.2045,10.4,10.4,5.9375,7.9167,2.4833
A.J. Green,2022,Oliverwkw,Oliverwkw,False,34.25,,61.6,,4.7385,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,,,0.0,0.0,-95.20000000000002,-4.484999999999999,-77.5667,-5.202,,,,,
A.T. Perry,2023,AceMatthew,AceMatthew,True,24.09,3.2,60.6,1.0666666666666667,7.575,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,,,,,,,,,,,0.14,1.5,1.7,0.0,100.0,0.0,0.0,0.0,99.0,43.3,3.8,,,,0,0,0,3,3,0.0,,0.6667,0.0,0.0,,,,,,,1.0667,1.6,-1.6
