asset,target_date,quote_date_used,source,value
5987,2020-09-12,2020-09-12,backfill-carry,3322.0
5068,2020-09-12,2020-09-12,backfill-carry,2573.0
5068,2020-09-12,2020-09-12,backfill-carry,2573.0
5987,2020-09-12,2020-09-12,backfill-carry,3322.0
2588,2020-09-15,2020-09-15,backfill-carry,911.0
6849,2020-09-15,2020-09-09,backfill-carry,3760.0
6794,2020-09-15,2020-09-15,backfill-carry,4911.0
2319,2020-09-15,2020-09-09,backfill-carry,4830.0
6794,2020-09-15,2020-09-15,backfill-carry,4911.0
2319,2020-09-15,2020-09-09,backfill-carry,4830.0
2588,2020-09-15,2020-09-15,backfill-carry,911.0
6849,2020-09-15,2020-09-09,backfill-carry,3760.0
6151,2020-09-30,2020-09-30,backfill-carry,7618.0
4950,2020-09-30,2020-09-30,backfill-carry,3706.0
2168,2020-09-30,2020-09-30,backfill-carry,1542.0
2449,2020-09-30,2020-09-30,backfill-carry,5952.0
3423,2020-09-30,2020-09-30,backfill-carry,2586.0
2315,2020-09-30,2020-09-30,backfill-carry,4135.0
2449,2020-09-30,2020-09-30,backfill-carry,5952.0
3423,2020-09-30,2020-09-30,backfill-carry,2586.0
2315,2020-09-30,2020-09-30,backfill-carry,4135.0
6151,2020-09-30,2020-09-30,backfill-carry,7618.0
4950,2020-09-30,2020-09-30,backfill-carry,3706.0
2168,2020-09-30,2020-09-30,backfill-carry,1542.0
4036,2020-10-01,2020-10-01,backfill-carry,2205.0
2431,2020-10-01,2020-10-01,backfill-carry,1249.0
2431,2020-10-01,2020-10-01,backfill-carry,1249.0
4036,2020-10-01,2020-10-01,backfill-carry,2205.0
3157,2020-10-07,2020-10-07,backfill-carry,4134.0
6803,2020-10-07,2020-10-07,backfill-carry,4582.0
6803,2020-10-07,2020-10-07,backfill-carry,4582.0
3157,2020-10-07,2020-10-07,backfill-carry,4134.0
3423,2020-10-29,2020-10-29,backfill-carry,4671.0
2319,2020-10-29,2020-10-29,backfill-carry,4212.0
1992,2020-10-29,2020-10-29,backfill-carry,6118.0
1992,2020-10-29,2020-10-29,backfill-carry,6118.0
3423,2020-10-29,2020-10-29,backfill-carry,4671.0
2319,2020-10-29,2020-10-29,backfill-carry,4212.0
1825,2020-11-20,2020-11-20,backfill-carry,3382.0
4381,2020-11-20,2020-11-18,backfill-carry,537.0
5980,2020-11-20,2020-11-18,backfill-carry,3957.0
24,2020-11-20,2020-11-20,backfill-carry,4402.0
5980,2020-11-20,2020-11-18,backfill-carry,3957.0
24,2020-11-20,2020-11-20,backfill-carry,4402.0
1825,2020-11-20,2020-11-20,backfill-carry,3382.0
4381,2020-11-20,2020-11-18,backfill-carry,537.0
333,2020-11-29,2020-11-29,backfill-carry,398.0
2391,2020-11-29,2020-11-29,backfill-carry,2328.0
4029,2020-11-29,2020-11-29,backfill-carry,8969.0
5987,2020-11-29,2020-11-29,backfill-carry,2863.0
4029,2020-11-29,2020-11-29,backfill-carry,8969.0
5987,2020-11-29,2020-11-29,backfill-carry,2863.0
333,2020-11-29,2020-11-29,backfill-carry,398.0
2391,2020-11-29,2020-11-29,backfill-carry,2328.0
6820,2020-12-01,2020-11-25,backfill-carry,7104.0
5052,2020-12-01,2020-12-01,backfill-carry,4407.0
6886,2020-12-01,2020-11-25,backfill-carry,6151.0
5052,2020-12-01,2020-12-01,backfill-carry,4407.0
6886,2020-12-01,2020-11-25,backfill-carry,6151.0
6820,2020-12-01,2020-11-25,backfill-carry,7104.0
5890,2020-12-13,2020-12-13,backfill-carry,4014.0
6149,2020-12-13,2020-12-13,backfill-carry,3817.0
6149,2020-12-13,2020-12-13,backfill-carry,3817.0
5890,2020-12-13,2020-12-13,backfill-carry,4014.0
6768,2020-12-16,2020-12-16,backfill-carry,6473.0
4866,2020-12-16,2020-12-16,backfill-carry,8359.0
4199,2020-12-16,2020-12-16,backfill-carry,6679.0
96,2020-12-16,2020-12-16,backfill-carry,6338.0
4199,2020-12-16,2020-12-16,backfill-carry,6679.0
96,2020-12-16,2020-12-16,backfill-carry,6338.0
6768,2020-12-16,2020-12-16,backfill-carry,6473.0
4866,2020-12-16,2020-12-16,backfill-carry,8359.0
5844,2020-12-16,2020-12-16,backfill-carry,5684.0
3242,2020-12-16,2020-12-16,backfill-carry,4157.0
6826,2020-12-16,2020-12-16,backfill-carry,2254.0
3242,2020-12-16,2020-12-16,backfill-carry,4157.0
6826,2020-12-16,2020-12-16,backfill-carry,2254.0
5844,2020-12-16,2020-12-16,backfill-carry,5684.0
6790,2021-08-29,2021-08-29,mirror,5857.0
6790,2021-08-29,2021-08-29,mirror,5857.0
7540,2021-08-29,2021-08-29,mirror,2318.0
7569,2021-08-29,2021-08-29,mirror,2589.0
7596,2021-08-29,2021-08-29,mirror,4579.0
5844,2021-08-29,2021-08-29,mirror,5203.0
5844,2021-08-29,2021-08-29,mirror,5203.0
7540,2021-08-29,2021-08-29,mirror,2318.0
7569,2021-08-29,2021-08-29,mirror,2589.0
7596,2021-08-29,2021-08-29,mirror,4579.0
5892,2021-08-29,2021-08-29,mirror,5301.0
5890,2021-08-29,2021-08-29,mirror,3687.0
5947,2021-08-29,2021-08-29,mirror,2955.0
7587,2021-08-29,2021-08-29,mirror,2874.0
5890,2021-08-29,2021-08-29,mirror,3687.0
5947,2021-08-29,2021-08-29,mirror,2955.0
7587,2021-08-29,2021-08-29,mirror,2874.0
5892,2021-08-29,2021-08-29,mirror,5301.0
6849,2021-08-29,2021-08-29,mirror,1793.0
6849,2021-08-29,2021-08-29,mirror,1793.0
6789,2021-10-06,2021-10-06,mirror,3606.0
6845,2021-10-06,2021-10-06,mirror,3121.0
6845,2021-10-06,2021-10-06,mirror,3121.0
6789,2021-10-06,2021-10-06,mirror,3606.0
5980,2021-10-18,2021-10-18,mirror,2864.0
5980,2021-10-18,2021-10-18,mirror,2864.0
1049,2021-10-23,2021-10-23,mirror,4001.0
6126,2021-10-23,2021-10-23,mirror,1978.0
