Year,Number,Player Picked,Team,Original Team,Number of starts before next transaction,Number of trades,Commissioner moved?,Avg PPG on team,Avg PPG on team adjusted by position,Pick-adjusted Difference in Avg PPG on team adjusted by position,Avg career PPG,Avg career PPG adjusted by position,Pick-adjusted Difference in Avg career PPG adjusted by position,Player addition value,Pick-adjusted Difference in Player addition value,% of starts made while rostered by drafting team,Points added,Avg points added,Avg points added adjusted by position,Pick-adjusted Difference in Avg points added adjusted by position,O-Score,Age when drafted,Cuff when drafted?,Tanking,Injury adjusted % of starts made while rostered by drafting team,KTC on draft day,Pick-adjusted Difference in KTC on draft day,KTC at end of rookie year,Pick-adjusted Difference in KTC at end of rookie year,KTC 1 year after draft day,Pick-adjusted Difference in KTC 1 year after draft day,KTC 2 years after draft day,Pick-adjusted Difference in KTC 2 years after draft day,KTC 3 years after draft day,Pick-adjusted Difference in KTC 3 years after draft day,KTC 4 years after draft day,Pick-adjusted Difference in KTC 4 years after draft day,Length of tenure on team,Weeks before first start,Link to next transaction,Link to previous transaction
2021,1.01,Najee Harris,stevenb123,stevenb123,44,0,False,13.46,13.49,0.537,12.9,12.93,-0.41,55.4989,13.6221,0.7857,591.5,13.44,13.48,0.908,55.6,23.47,False,0.0001,0.8302,6743.0,116.7,6724.0,295.3,6427.0,-56.7,4470.0,-1588.125,3165.0,-2174.3333,2431.0,-1995.25,1137.0,0,T#202,
2021,1.02,Kyle Pitts,stevenb123,JacobRosenzweig,38,1,False,9.26,11.13,-2.7093,9.26,11.13,-3.03,29.8251,-13.9871,0.4471,345.3,9.09,10.92,-2.982,32.3,20.9,False,0.0046,0.5135,6182.0,-228.4667,6786.0,230.5333,7315.0,785.9333,5413.0,-1004.25,4911.0,-923.4444,3190.0,-1564.0,1842.0,0,,T#468
2021,1.03,Trevor Lawrence,AceMatthew,AceMatthew,19,0,False,15.0,12.62,-0.9333,16.12,13.56,-0.0647,27.0425,-13.7518,0.3725,331.32,17.44,14.67,1.526,50.6,21.9,False,0.0023,0.4043,6953.0,1049.8,6079.0,-506.9333,5264.0,-1226.8667,8068.0,1847.1667,5845.0,502.3333,5054.0,-349.8333,988.0,4,T#23,
2021,1.04,Ja'Marr Chase,BROsenzweig,BROsenzweig,71,0,False,19.22,20.27,6.7767,19.22,20.27,6.4367,103.3096,63.1328,0.8353,1385.22,19.51,20.58,6.356,97.9,21.49,False,0.0046,0.9589,5849.0,225.4667,8519.0,1993.8667,8833.0,2586.0,9083.0,2810.4167,8692.0,2907.2222,9997.0,5009.1667,1842.0,3,,
2021,1.05,Javonte Williams,shmuel256,plehv79,8,1,False,11.71,11.74,-0.0925,11.89,11.92,-0.3495,23.1954,-11.1943,0.3478,119.0,14.88,14.91,3.8665,41.6,21.34,False,0.0014,0.4,5458.0,207.5,6586.0,747.95,6269.0,490.175,4530.0,-987.625,3287.0,-1763.3333,2758.0,-1966.875,420.0,7,T#308,T#367
2021,1.06,Travis Etienne,AceMatthew,LWebs53,38,1,False,13.4,13.44,1.388,13.4,13.44,0.8365,38.3803,6.8089,0.4471,564.1,14.84,14.88,1.983,62.6,22.59,False,0.0014,0.6129,4174.0,-752.55,5049.0,-493.725,5058.0,-431.825,5037.0,-674.875,5517.0,384.6667,3023.0,-1380.5625,1842.0,17,,T#5
2021,1.07,Jaylen Waddle,Oliverwkw,Oliverwkw,9,0,False,15.42,16.27,5.2267,13.27,13.99,2.975,41.9214,11.8998,0.5294,166.1,18.46,19.46,10.1022,86.5,22.76,False,0.0013,0.6,4893.0,75.0,6186.0,920.875,5385.0,-42.35,7053.0,2518.8438,5998.0,2294.75,4477.0,1209.4375,306.0,4,T#165,
2021,1.08,Trey Lance,shmuel256,shmuel256,3,0,False,9.55,8.03,-2.4693,6.42,5.4,-6.0385,12.2275,-15.0886,0.0882,30.52,10.17,8.56,-1.1345,22.2,21.31,False,0.0014,0.375,6716.0,1771.925,6210.0,530.575,6129.0,476.875,1758.0,-3356.0312,1180.0,-2489.4583,1159.0,-2848.5,634.0,16,T#243,
2021,2.01,Justin Fields,LWebs53,stevenb123,0,1,False,5.81,4.88,-5.2174,14.62,12.3,1.7218,4.88,-17.4441,0.0,0.0,0.0,0.0,-8.8063,38.7,22.49,False,0.0101,0.0,6576.0,1703.125,5959.0,651.275,4768.0,-449.25,7222.0,3367.5625,2685.0,-400.7917,3609.0,612.625,55.0,,T#160,T#158
2021,2.02,Zach Wilson,JacobRosenzweig,JacobRosenzweig,4,0,False,11.26,9.47,-1.1177,9.59,8.07,-3.48,12.8966,-12.2657,0.1176,59.92,14.98,12.6,2.1167,31.2,22.07,False,0.003,0.1905,5848.0,1056.45,4725.0,-522.825,3723.0,-1284.4,1451.0,-2996.7188,891.0,-3208.7083,981.0,-2897.25,652.0,13,#406,
2021,2.03,DeVonta Smith,AceMatthew,AceMatthew,40,0,False,13.57,14.31,3.793,13.32,14.04,3.94,57.8259,33.5019,0.7843,518.9,12.97,13.68,2.0615,89.5,22.79,False,0.0011,0.8333,5043.0,614.675,5174.0,754.125,4596.0,373.35,6377.0,3042.1562,5600.0,2328.6667,4976.0,2523.5625,988.0,1,T#23,
2021,2.04,Trey Sermon,BROsenzweig,BROsenzweig,1,0,False,4.04,4.05,-5.5854,3.07,3.08,-6.2728,4.2775,-21.0914,0.05,0.0,0.0,0.0,-9.757,7.4,22.58,False,0.003,0.0,4219.0,67.275,1755.0,-2600.2,1327.0,-2776.1,499.0,-2627.875,1412.0,-1300.1667,785.0,-1577.125,395.0,8,#201,
2021,2.05,Elijah Moore,plehv79,plehv79,0,0,False,,,,7.41,7.82,-0.284,,,,0.0,0.0,0.0,-6.8465,32.2,21.42,False,0.003,,4579.0,714.325,4983.0,1137.425,4654.0,956.675,3347.0,645.0938,1660.0,-305.5833,1683.0,-333.1875,0.0,,T#300,
