Team,Year,Result,Win %,Regular season record,Regular season win %,All-play win %,All-play win % minus Win %,Record,Win Variance,Week of playoff elimination,Differential,Avg differential,Record vs playoff teams,Win % vs playoff teams,Record vs non-playoff teams,Win % vs non-playoff teams,Record vs champion,Win % vs champion,Record vs last place,Win % vs last place,Record vs AceMatthew,Win % vs AceMatthew,Record vs BROsenzweig,Win % vs BROsenzweig,Record vs JacobRosenzweig,Win % vs JacobRosenzweig,Record vs LWebs53,Win % vs LWebs53,Record vs Oliverwkw,Win % vs Oliverwkw,Record vs plehv79,Win % vs plehv79,Record vs shmuel256,Win % vs shmuel256,Record vs stevenb123,Win % vs stevenb123,Points,Avg points,Points against,Avg points against,Max PF,Avg max PF,Efficiency,Points from QBs,Points from WRs,Points from TEs,Points from RBs,% of points from QBs,% of points from WRs,% of points from TEs,% of points from RBs,Drafting skill,Trading skill,Add/Drop skill,Times Brosenzweig,Times Sisenzweig,Times Highest score?,Times Lowest score?,Times Narrowest victory?,Times Largest blowout?,Times Most efficient?,Times Least efficient?,Times Top half of league?,Times One-man army?,Times Most bench points?,Times Most injured?,Playoff appearance streak,Winning season streak,Average weekly starter turnover,Average weekly roster turnover,Number of QB started,Number of WR started,Number of RB started,Number of TE started,Number of QB rostered,Number of WR rostered,Number of RB rostered,Number of TE rostered,Most number of players started from same NFL team,Most number of players rostered from same NFL team,Most number of QBs started from same NFL team,Most number of QBs rostered from same NFL team,Most number of RBs started from same NFL team,Most number of RBs rostered from same NFL team,Most number of WR started from same NFL team,Most number of WR rostered from same NFL team,Most number of TE started from same NFL team,Most number of TE rostered from same NFL team,Number of NFL teams among starting players,Number of NFL teams among rostered players,Stacks,Number of rookies started,Number of rookies rostered,% of players drafted,% of 3rd year+ players drafted,Player average age,Team age including picks,Difference between highest and lowest starters,Number of donuts,Number of starter donuts,Number of players under 10,Number of starters under 10,Number of players over 20,Number of starters over 20,Number of players over 30,Number of starters over 30,Number of players over 40,Number of starters over 40,Number of players over 50,Number of starters over 50,% of starters boom,% of starters upper quartile,% of starters middle 50%,% of starters lower quartile,% of starters bust,Number of cuffs rostered,Number of cuffs started,Startup draft players remaining,Tanking,Losses from hardship,Losses from byes,Wins from byes,Losses from hardship (2-sided),Wins from hardship (2-sided),Weeks of injuries,Weeks suspensions,Weeks of starter injuries,Weeks of starter suspensions,Hardship,Starter-adjusted Hardship,Luck,Draft Value,3-year roster retention rate,Number of first round picks made,Total number of picks made,Offseason starter turnover,Inseason starter turnover,Offseason roster turnover,Inseason roster turnover,Number of Add/Drops,Number of waiver adds,Number of free agency adds,Number of pure drops,Offseason trades,Inseason trades,Total trades,Total transactions,Amount of FAAB spent,Future draft capital,Change in win % from previous season
AceMatthew,2020,6th,0.375,5-9,0.3571,0.4107,0.0357,6-10,-0.0,12.0,-367.92,-23.0,3-5,0.375,3-5,0.375,1-1,0.5,2-1,0.6667,,,0-2,0.0,1-2,0.3333,1-1,0.5,1-1,0.5,0-2,0.0,1-1,0.5,2-1,0.6667,2061.7,128.86,2429.62,151.85,2525.26,157.83,0.8164,558.68,649.12,152.7,701.2,0.271,0.3148,0.0741,0.3401,44.8,50.6,49.4,0,1,1,3,1,0,1,2,7,3,0,9,0,0,3.47,1.67,5,14,9,3,5,20,14,4,3,3,1,1,1,2,2,2,1,1,21,23,15,0,1,47.6,38.9,26.4781,24.04875,48.6,6,2,108,48,45,32,9,8,2,1,0,0,9.0,9.7,52.8,15.3,13.2,3,1,9,0.4736,1,0,1,1,0,68,0,46,0,1089.42,575.1248,-2.5841,0.0,0.1053,0,0,,14,,22.0,26,9,16,1,1,4,5,31,,3.32,
AceMatthew,2021,7th,0.4118,6-9,0.4,0.2773,-0.1345,7-10,1.0,14.0,-512.74,-30.16,3-5,0.375,4-5,0.4444,0-2,0.0,2-2,0.5,,,1-2,0.3333,1-1,0.5,1-1,0.5,1-1,0.5,1-1,0.5,2-2,0.5,0-2,0.0,1947.5,114.56,2460.24,144.72,2397.44,141.03,0.8123,556.7,528.0,204.6,658.2,0.2859,0.2711,0.1051,0.338,49.0,49.1,42.9,0,0,0,6,2,0,1,5,2,2,0,8,0,0,3.24,1.41,4,9,10,3,5,18,13,3,2,3,1,1,1,2,1,2,1,1,15,24,16,3,6,44.0,36.8,26.2459,23.97,31.4,11,3,139,60,43,32,3,3,0,0,0,0,3.9,14.4,42.5,23.5,15.7,5,3,6,0.7726,2,0,0,1,1,110,0,72,0,1188.206,632.8128,-0.8334,1.2897,0.24,2,7,12,10,16,16.0,18,1,11,6,1,3,4,22,,3.02,0.0368
AceMatthew,2022,6th,0.4118,5-10,0.3333,0.3697,-0.0421,7-10,0.5,12.0,-92.38,-5.43,1-8,0.1111,6-2,0.75,0-2,0.0,2-0,1.0,,,1-1,0.5,2-1,0.6667,0-2,0.0,0-2,0.0,2-0,1.0,2-1,0.6667,0-3,0.0,2084.5,122.62,2176.88,128.05,2725.94,160.35,0.7647,639.88,734.8,124.32,585.5,0.307,0.3525,0.0596,0.2809,52.7,53.0,36.6,0,2,0,3,1,0,1,6,6,4,4,2,0,0,3.47,1.47,5,11,7,5,5,14,12,9,2,3,1,1,1,2,1,2,1,1,18,23,12,5,9,44.0,25.0,24.9876,23.529411764705884,48.0,24,3,179,55,51,32,12,8,1,1,0,0,6.6,13.8,48.7,18.4,12.5,2,0,3,0.506,0,0,0,0,3,50,0,33,0,476.341,197.0044,1.548,0.9167,0.2917,2,4,8,10,11,15.0,23,9,4,10,1,5,6,29,29.0,2.9,0.0
AceMatthew,2023,5th,0.4706,7-8,0.4667,0.5546,0.084,8-9,-1.0,14.0,58.54,3.44,2-7,0.2222,6-2,0.75,1-1,0.5,2-1,0.6667,,,2-0,1.0,2-1,0.6667,1-1,0.5,0-2,0.0,0-2,0.0,1-2,0.3333,2-1,0.6667,2299.28,135.25,2240.74,131.81,2950.44,173.56,0.7793,593.48,981.5,141.1,583.2,0.2581,0.4269,0.0614,0.2536,47.6,46.1,30.4,0,1,6,2,0,5,4,3,9,1,1,1,0,0,2.59,1.76,5,8,5,2,8,19,14,6,2,4,1,2,1,2,1,3,1,1,15,23,20,3,9,50.0,37.5,25.2706,23.656470588235294,47.4,27,4,193,49,58,38,11,8,2,2,0,0,7.2,18.3,52.9,11.8,9.8,6,1,2,0.3174,0,0,0,0,0,59,0,21,0,711.125,228.3322,-0.237,0.879,0.3846,3,5,6,10,13,12.0,28,9,14,5,4,3,7,35,84.0,2.15,0.05880000000000002
AceMatthew,2024,5th,0.4706,7-8,0.4667,0.5546,0.084,8-9,-2.5,15.0,71.62,4.21,2-7,0.2222,6-2,0.75,0-3,0.0,3-0,1.0,,,1-1,0.5,3-0,1.0,1-1,0.5,2-1,0.6667,1-1,0.5,0-2,0.0,0-3,0.0,2642.9,155.46,2571.28,151.25,3344.76,196.75,0.7902,555.1,893.98,230.9,962.92,0.21,0.3383,0.0874,0.3643,52.8,44.1,38.4,1,0,3,2,1,1,0,5,9,3,3,0,0,0,2.94,1.88,6,7,7,2,9,17,12,4,2,3,1,2,1,2,2,2,1,1,20,24,6,2,6,38.7,22.7,26.8347,24.681176470588234,37.8,43,0,209,47,77,50,12,10,0,0,0,0,11.8,17.6,47.6,16.5,6.5,9,1,3,0.148,1,1,0,0,1,57,0,34,0,584.036,243.8184,-0.8709,0.5694,,2,4,9,10,22,7.0,28,17,4,7,9,4,13,41,146.0,1.75,0.0
AceMatthew,2025,2nd,0.7059,11-4,0.7333,0.7143,0.0084,12-5,1.5,0.0,216.98,12.76,5-4,0.5556,7-1,0.875,1-2,0.3333,2-0,1.0,,,1-2,0.3333,1-1,0.5,2-0,1.0,2-0,1.0,2-0,1.0,1-2,0.3333,3-0,1.0,2694.14,158.48,2477.16,145.72,3229.4,189.96,0.8343,658.92,894.6,257.3,878.32,0.245,0.3327,0.0957,0.3266,41.4,46.6,43.5,0,0,5,1,7,3,4,2,15,2,4,7,1,In Progress,2.76,2.24,4,8,7,5,10,19,15,8,2,3,1,2,1,3,1,2,1,2,20,29,10,0,4,25.0,16.0,27.6235,25.663529411764703,38.6,16,1,194,49,68,49,12,10,1,1,0,0,9.4,14.7,57.6,11.8,6.5,7,1,3,-0.009,2,1,1,1,3,103,0,52,0,1057.3627,442.604,-0.4255,0.3333,,0,3,10,8,27,12.0,39,28,2,9,8,4,12,51,107.0,1.34,0.23529999999999995
AceMatthew,2026,,1.0,2-0,1.0,0.9286,-0.0714,2-0,0.5,0.0,53.34,26.67,,,,,,,,,,,1-0,1.0,0-0,0.0,0-0,0.0,0-0,0.0,0-0,0.0,0-0,0.0,1-0,1.0,354.82,177.41,301.48,150.74,444.14,222.07,0.7989,69.92,159.5,36.9,88.5,0.1971,0.4495,0.104,0.2494,,43.0,39.7,0,0,1,0,1,0,0,0,2,0,0,0,,2,3.0,5.0,3,6,3,2,4,14,11,3,2,2,1,1,1,2,1,2,1,1,11,21,1,0,4,29.0,22.2,26.67,24.975,39.6,2,0,29,6,10,7,3,3,0,0,0,0,30.0,5.0,45.0,10.0,10.0,0,0,2,-0.1002,0,0,0,0,0,5,2,2,2,67.86,51.2,-0.0058,0.6389,,1,5,4,8,17,2.0,16,6,1,9,3,0,3,19,45.0,1.31,0.29410000000000003
BROsenzweig,2020,5th,0.5,7-7,0.5,0.5357,0.0357,8-8,-1.0,13.0,164.72,10.3,2-6,0.25,6-2,0.75,0-2,0.0,2-1,0.6667,2-0,1.0,,,2-1,0.6667,0-2,0.0,0-2,0.0,2-0,1.0,0-2,0.0,2-1,0.6667,2337.42,146.09,2172.7,135.79,2800.94,175.06,0.8345,720.22,777.9,151.4,687.9,0.3081,0.3328,0.0648,0.2943,50.5,47.4,50.6,0,1,1,0,2,4,3,1,10,3,0,4,0,1,1.93,0.73,4,9,5,3,5,13,9,3,3,4,1,2,1,2,1,2,1,1,12,15,23,1,2,57.1,64.7,27.2175,24.611875,39.7,9,2,103,39,58,44,14,11,2,2,0,0,11.1,20.1,47.9,13.2,7.6,2,1,12,0.121,3,0,0,2,1,52,0,25,0,612.54,305.18,-1.3002,0.0,0.2105,0,0,,10,,16.0,9,1,6,2,0,2,2,11,,1.9,
BROsenzweig,2021,6th,0.4118,6-9,0.4,0.4454,0.0336,7-10,1.0,15.0,-62.16,-3.66,2-7,0.2222,5-3,0.625,0-2,0.0,1-1,0.5,2-1,0.6667,,,2-1,0.6667,0-2,0.0,1-2,0.3333,1-1,0.5,1-1,0.5,0-2,0.0,2165.94,127.41,2228.1,131.06,2547.16,149.83,0.8503,613.24,776.6,218.0,558.1,0.2831,0.3586,0.1006,0.2577,48.3,52.6,46.4,0,0,3,5,2,4,3,2,7,8,0,7,0,0,2.18,0.76,5,7,9,2,5,8,10,4,2,2,1,1,1,1,1,1,1,1,20,22,13,3,4,68.0,65.0,26.9412,24.911176470588234,53.3,16,4,140,64,48,37,11,11,2,2,1,1,10.7,15.3,41.3,19.3,13.3,3,2,9,0.4345,5,0,0,1,0,105,0,68,0,1224.912,818.3968,-2.4125,0.8,0.1739,1,4,4,10,14,2.0,9,1,2,6,0,1,1,10,,1.85,-0.0882
BROsenzweig,2022,4th,0.5882,10-5,0.6667,0.6471,0.0589,10-7,-1.0,0.0,13.1,0.77,5-4,0.5556,5-3,0.625,1-1,0.5,2-0,1.0,1-1,0.5,,,1-1,0.5,1-1,0.5,3-1,0.75,2-0,1.0,1-1,0.5,1-2,0.3333,2421.6,142.45,2408.5,141.68,2885.7,169.75,0.8392,643.34,772.6,162.9,842.76,0.2657,0.319,0.0673,0.348,50.7,49.8,39.2,0,0,2,0,4,1,3,0,11,0,0,4,1,1,2.06,1.53,5,9,5,3,11,16,8,7,2,3,1,1,1,2,1,2,1,2,18,25,0,2,2,36.0,23.8,26.9612,24.976470588235294,32.96,18,4,139,42,61,45,11,10,0,0,0,0,12.5,15.1,48.0,14.5,9.9,4,0,6,0.1247,2,0,1,0,1,71,6,38,6,925.528,470.9848,-2.0037,0.5,0.1667,1,2,8,8,9,19.0,27,8,9,10,3,3,6,33,99.0,1.6,0.17639999999999995
