Player-Week,Player-year,Player-all-time,team-week,team-year,team-all-time,league-week,league-year,league-all-time,add_drops,player_additions,trades,non_rookie_picks,rookie_picks,Formulas
Player,Player,Player,Team,Team,Team,Year,Year,PF,Team,Player,Team,Year,Year,Stat
Team,Year,Top team,Week,Year,All time win %,Week Name,(smallest) Playoff tiebreaker,Avg PF,Player Added,Team,Team's traded with 1,Number,Number,Sheet
Year,Top Team,Last team,Week Name,Result,Regular season record,Week,PF,PF Range,Player Dropped,Addition type,Team's traded with 2,Player Picked,Player Picked,Formula
Week,Last team,Number of teams,Year,Win %,Regular season win %,PF,Avg PF,Avg margin,type of add/drop (waiver/free agency),Date,Assets received,Team,Team,Notes
Week Name,Rookie?,Taxi-eligible,Opponent,Regular season record,Playoff record,Avg margin,Avg margin,Margin range,Date,Link to addition,Assets sent,Original Team,Original Team,
Starter/Bench,Age,Points,Win?,Regular season win %,Playoff win %,Margin range,Margin range,Number of games within 10,Season,Season,Number of assets received,Number of starts before next transaction,Number of starts before next transaction,
Position started in (if starter),Points,Points (full career),Margin,All-play win %,Toilet bowl record,Number of games within 10,Number of games within 10,Number of games within 5,Date dropped/traded,Date dropped/traded,Number of assets traded away,Number of trades,Number of trades,
Position,Points (full season),Avg points,UPST,All-play win % minus Win %,Toilet bowl win %,Number of games within 5,Number of games within 5,UPST,Faab,Number of starts before next drop,Total number of assets in trade,Commissioner moved?,Commissioner moved?,
Rookie?,Avg points,Avg points adjusted by position,PF,Record,Third place game record,UPST,UPST,Max PF,Total FAAB bid,Number of times added by this team,Date,Avg PPG on team,Avg PPG on team,
Age,Avg points adjusted by position,Avg points (full career),Points against,Win Variance,Toilet losers game record,PF Range,PF Range,Avg max PF,FAAB difference over second place,Number of times dropped by this team,Season,Avg PPG on team adjusted by position,Avg PPG on team adjusted by position,
NFL team,Avg points (full season),Avg points (full career) adjusted by position,Max PF,Week of playoff elimination,All time record,Max PF,Max PF,Efficiency,FAAB premium %,Tenure (days),Trade impact score,Pick-adjusted Difference in Avg PPG on team adjusted by position,Pick-adjusted Difference in Avg PPG on team adjusted by position,
Points,Avg points (full season) adjusted by position,Adjusted Avg points,Efficiency,Differential,Championships,Efficiency,Avg max PF,Highest starter score,Number of bids,Tenure (NFL weeks),Pick value received,Avg career PPG,Avg career PPG,
% of points (if starter),Adjusted Avg points,Adjusted Avg points adjusted by position,Points from QBs,Avg differential,Number of playoff appearances,Increase in points from previous week,Efficiency,Lowest starter score,Number of starts before next drop,Games played on team,Assets retained now,Avg career PPG adjusted by position,Avg career PPG adjusted by position,
Positional scoring percentile,Adjusted Avg points adjusted by position,Times as Player of the week?,Points from WRs,Record vs playoff teams,Number of championship appearances,Highest starter score,Increase in points from previous week,Number of QB started,Number of times picked up by this team,Injured weeks on team,Assets traded away,Pick-adjusted Difference in Avg career PPG adjusted by position,Pick-adjusted Difference in Avg career PPG adjusted by position,
Difference from best startable bench (if starter),Times as Player of the week?,Times as QB of the week?,Points from TEs,Win % vs playoff teams,Number of last place finishes,Lowest starter score,Highest starter score,Number of WR started,Number of times dropped by this team,Bench weeks on team,Assets dropped to FA,Player addition value,Player addition value,
Difference from worst benchable starter (if bench),Times as QB of the week?,Times as RB of the week?,Points from RBs,Record vs non-playoff teams,Win Variance,Number of QB started,Lowest starter score,Number of RB started,Average PPG on team,Healthy bench weeks on team,Return from trades,Pick-adjusted Difference in Player addition value,Pick-adjusted Difference in Player addition value,
Reference player name,Times as RB of the week?,Times as WR of the week?,% of points from QBs,Win % vs non-playoff teams,Differential,Number of WR started,Number of QB started,Number of TE started,Average PPG on team adjusted by position,% of starts made while rostered,Additional assets traded away in those deals,% of starts made while rostered by drafting team,% of starts made while rostered by drafting team,
Difference in averages of best/worst startables over previous 5 games,Times as WR of the week?,Times as TE of the week?,% of points from WRs,Record vs champion,Avg differential,Number of RB started,Number of WR started,Number of QB rostered,Average PPG of dropped player over same time,Injury adjusted % of starts made while rostered,Return from trades of trades...of trades. Keep going until present day,Points added,Points added,
Difference in averages of best/worst startables over previous 5 games adjusted by position,Times as TE of the week?,Times as Benchwarmer of the week?,% of points from TEs,Win % vs champion,All-play win %,Number of TE started,Number of RB started,Number of WR rostered,Average PPG of dropped player over same time adjusted by position,Avg PPG on team,Avg PPG of received players on team,Avg points added,Avg points added,
Cuff adjusted difference,Times as Benchwarmer of the week?,Times as Bench QB of the week?,% of points from RBs,Record vs last place,All-play win % minus Win %,Number of QB rostered,Number of TE started,Number of RB rostered,PPG of 5 games before pickup,Avg PPG on team adjusted by position,Avg PPG of received players on team adjusted by position,Avg points added adjusted by position,Avg points added adjusted by position,
Cuff adjusted difference adjusted by position,Times as Bench QB of the week?,Times as Bench RB of the week?,Difference in pregame avg max PF from opponent,Win % vs last place,Playoff PF minus regular-season PF,Number of WR rostered,Number of QB rostered,Number of TE rostered,PPG of 5 games before pickup adjusted by position,Avg points per rostered week on team,Avg PPG of sent players over same time,Pick-adjusted Difference in Avg points added adjusted by position,Pick-adjusted Difference in Avg points added adjusted by position,
Player of the week?,Times as Bench RB of the week?,Times as Bench WR of the week?,Increase in points from previous week,Points,Playoff win % minus regular-season win %,Number of RB rostered,Number of WR rostered,Most number of players started from same NFL team,Difference of averages,Avg points per rostered week on team adjusted by position,Avg PPG of sent players over same time adjusted by position,O-Score,O-Score,
QB of the week?,Times as Bench WR of the week?,Times as Bench TE of the week?,Brosenzweig,Avg points,Highest Win % vs a team,Number of TE rostered,Number of RB rostered,Most number of players rostered from same NFL team,Difference of averages adjusted by position,Points added,Avg PPG of received players in 5 games before trade,Age when drafted,Age when drafted,
RB of the week?,Times as Bench TE of the week?,Times as Highest starter on team?,Sisenzweig,Points against,Team for highest Win %,Most number of players started from same NFL team,Number of TE rostered,Most number of QBs started from same NFL team,Player addition value,Bench points on team,Avg PPG of received players in 5 games before trade adjusted by position,Cuff when drafted?,Cuff when drafted?,
WR of the week?,Times as Highest starter on team?,Times as Lowest starter on team?,Highest score?,Avg points against,Lowest Win % vs a team,Most number of players rostered from same NFL team,Most number of players started from same NFL team,Most number of QBs rostered from same NFL team,% of starts made while rostered,PPG bench on team,Difference of averages,Tanking,Tanking,
