Player,gsis_id,Year,Week,nflverse_game_id,nflverse_snaps,nflverse_participation_plays,web_verdict,detail,source
Bryan Edwards,00-0036365,2020,9,2020_09_LV_LAC,1,1,played,Returned from ankle injury in Week 9 in a depth role; pbp participation 1 play,https://en.wikipedia.org/wiki/Bryan_Edwards_(American_football)
Cam Akers,00-0036414,2020,6,2020_06_LA_SF,1,1,played,Back from rib injury since wk5 (no game-specific article); pbp participation 1 play,https://www.therams.com/news/cam-akers-makes-most-of-return-from-rib-injury
Cam Akers,00-0036414,2020,7,2020_07_CHI_LA,3,3,played,Three offensive snaps; lone carry negated by penalty,https://www.cbssports.com/fantasy/football/news/rams-cam-akers-hardly-plays-against-bears/
Jonnu Smith,00-0033858,2020,12,2020_12_TEN_IND,56,58,played,No target in Week 12 at IND (Titans threw 22 passes); 56 snaps,https://www.cbssports.com/fantasy/football/news/titans-jonnu-smith-uninvolved-against-colts/
KJ Hamler,00-0036412,2020,4,2020_04_DEN_NYJ,14,15,played_hurt_in_game,"NFL debut; hamstring injury, no first-half catch, ruled out at start of Q3",https://www.cbssports.com/fantasy/football/news/broncos-kj-hamler-wont-return-thursday/
Leonard Fournette,00-0033856,2020,5,2020_05_TB_CHI,1,1,played,"Researched earlier in session: active (Doubtful), 1 snap; pbp participation 1 play",
Mark Ingram,00-0027966,2020,14,2020_14_BAL_CLE,1,1,played,"Active; one snap, a called pass that ended in a sack",https://russellstreetreport.com/2020/12/15/report-card/lamar-jackson-flushes-the-browns-on-mnf/
Travis Fulgham,00-0035592,2020,14,2020_14_NO_PHI,12,14,played,"No web detail found; pbp participation 14 plays, 12 snaps",
Dyami Brown,00-0036626,2021,10,2021_10_TB_WAS,9,10,played,"Questionable (knee) but active; 8 offensive snaps, no targets",https://www.si.com/nfl/washingtonfootball/news/washington-football-team-tampa-bay-buccaneers-inactives-sam-cosmi-dyami-brown-chris-godwin-ryan-fitzpatrick-wft-nfl-news
Gabe Davis,00-0036196,2021,2,2021_02_BUF_MIA,21,22,played,"Questionable, active (all six Bills WRs active)",https://www.buffalobills.com/news/gabriel-davis-star-lotulelei-active-efe-obada-inactive-bills-at-dolphins
Trey Sermon,00-0036984,2021,12,2021_12_MIN_SF,4,4,played_hurt_in_game,"Active; right ankle injury on a Q2 special-teams play, did not return; IR after",https://www.49erswebzone.com/articles/152985-49ers-vikings-injury-updates-trey-sermon-greenlaw-exit-game/
Albert Okwuegbunam,00-0036423,2022,4,2022_04_DEN_LV,1,1,played,No web detail found; pbp participation 1 play,
KJ Hamler,00-0036412,2022,3,2022_03_SF_DEN,19,19,played,"Questionable (knee, hip), active for SNF",https://www.draftsharks.com/fantasy-football-news/kj-hamler/10604
Tee Higgins,00-0036410,2022,5,2022_05_CIN_BAL,10,10,played_hurt_in_game,"Rolled up early, re-aggravated ankle; handful of snaps, 0 catches",https://sports.yahoo.com/tee-higgins-limited-during-bengals-015445658.html
Tee Higgins,00-0036410,2022,14,2022_14_CLE_CIN,1,1,played_hurt_in_game,Played one snap before leaving with a hamstring injury,https://www.cbssports.com/fantasy/football/news/bengals-tee-higgins-exits-game-with-hamstring-injury/
Tyler Higbee,00-0033110,2022,12,2022_12_LA_KC,33,34,played,"Questionable (knee), active, played through it; 33 snaps",https://thehuddle.com/2022/11/27/gameday-inactives-injuries-and-weather-week12/
